utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.422,0.0000,0.0000,0.0000,562,651
LJ028-0353,45.539,0.1364,0.0707,0.0909,767,755
LJ049-0174,48.731,0.1667,0.0104,0.1667,694,672
LJ050-0184,39.540,0.1250,0.0256,0.0000,299,283
LJ017-0065,36.444,0.1250,0.0833,0.0625,494,475
LJ009-0246,66.835,0.0000,0.0000,0.0000,359,409
LJ016-0037,65.351,0.0000,0.0000,0.0000,650,670
LJ010-0315,51.081,0.0000,0.0000,0.0000,453,492
LJ003-0136,70.156,0.0000,0.0000,0.0000,700,801
LJ041-0179,38.681,0.0400,0.0259,0.0400,799,774
LJ016-0121,54.545,0.0400,0.0198,0.0800,709,703
LJ025-0082,57.070,0.1176,0.0625,0.0000,558,532
LJ003-0126,68.394,0.0000,0.0000,0.0000,457,498
LJ028-0183,69.545,0.0625,0.0308,0.0625,500,521
LJ017-0149,69.036,0.2105,0.0641,0.2105,585,595
LJ042-0110,68.485,0.2857,0.1250,0.2143,507,568
LJ009-0027,37.809,0.0000,0.0000,0.0000,139,130
LJ032-0201,43.220,0.0000,0.0000,0.0000,489,483
LJ007-0091,30.643,0.0556,0.0274,0.0556,527,482
LJ049-0039,44.757,0.0000,0.0000,0.0000,513,500
LJ019-0138,36.211,0.0870,0.0588,0.0000,778,703
LJ002-0260,58.998,0.0000,0.0000,0.0000,409,427
LJ009-0077,34.103,0.0000,0.0000,0.0000,483,432
LJ013-0028,68.455,0.0455,0.0227,0.0000,688,747
LJ034-0166,30.664,0.0526,0.0444,0.0000,608,557
LJ005-0116,50.299,0.1000,0.0426,0.0000,342,340
LJ010-0097,37.261,0.0000,0.0000,0.0000,767,735
LJ030-0146,52.658,0.1579,0.0106,0.2105,698,678
LJ037-0014,33.461,0.0769,0.0312,0.0769,444,423
LJ005-0131,39.061,0.0000,0.0000,0.0000,845,772
LJ004-0017,86.566,0.0714,0.0702,0.0714,421,442
LJ010-0147,76.126,0.2500,0.0745,0.2000,715,798
LJ021-0142,68.249,0.0000,0.0000,0.0000,325,390
LJ041-0097,85.689,0.1667,0.1562,0.1667,246,276
LJ028-0489,48.817,0.0357,0.0079,0.0357,824,825
LJ045-0082,32.717,0.0500,0.0104,0.0000,669,612
LJ009-0069,66.391,0.0625,0.0417,0.0000,519,535
LJ018-0328,39.370,0.0000,0.0000,0.0000,484,462
LJ001-0095,40.531,0.3636,0.1667,0.0000,367,361
LJ005-0037,65.326,0.0000,0.0000,0.0000,291,292
LJ031-0080,42.929,0.0833,0.0000,0.0833,799,746
LJ002-0132,62.646,0.0000,0.0000,0.0000,754,795
LJ042-0026,76.194,0.0000,0.0000,0.0000,801,845
LJ032-0209,33.250,0.0741,0.0224,0.0370,983,851
LJ028-0171,72.707,0.0000,0.0000,0.0000,488,523
LJ012-0077,66.454,0.0000,0.0000,0.0714,417,429
LJ041-0066,30.206,0.1818,0.1000,0.1818,415,354
LJ014-0322,71.686,0.1333,0.0580,0.0667,447,483
LJ015-0265,62.975,0.2500,0.0625,0.0000,112,137
LJ019-0286,67.625,0.1333,0.0429,0.0000,462,485
LJ029-0105,45.828,0.1304,0.0496,0.0435,790,762
LJ017-0100,51.640,0.0909,0.0455,0.0909,324,322
LJ040-0128,74.578,0.2308,0.0328,0.3077,449,493
LJ004-0164,37.438,0.0000,0.0000,0.0000,721,685
LJ034-0151,29.174,0.2857,0.0000,0.2857,219,203
LJ016-0002,35.978,0.0000,0.0000,0.0000,505,469
LJ003-0231,62.349,0.5714,0.1667,0.5000,472,497
LJ036-0092,63.922,0.2500,0.1087,0.4167,368,413
LJ031-0194,27.624,0.8333,0.0000,0.8333,300,259
LJ006-0040,72.733,0.0435,0.0090,0.0435,757,765
LJ042-0186,38.242,0.0000,0.0000,0.0714,501,491
LJ037-0242,44.160,0.0667,0.0333,0.2000,680,627
LJ005-0004,39.894,0.0000,0.0000,0.0000,365,342
LJ028-0376,78.089,0.0000,0.0000,0.0000,713,753
LJ033-0113,35.351,0.2727,0.0400,0.1818,328,320
LJ042-0057,53.892,0.0385,0.0106,0.0000,754,736
LJ004-0188,30.350,0.0000,0.0000,0.0833,430,349
LJ014-0333,36.115,0.0370,0.0079,0.0000,843,759
LJ029-0198,39.410,0.2222,0.0857,0.0556,703,652
LJ030-0253,41.719,0.0000,0.0000,0.0000,491,441
LJ002-0054,55.336,0.0000,0.0000,0.0000,671,664
LJ007-0149,31.068,0.0000,0.0000,0.0000,165,143
LJ045-0138,32.089,0.0000,0.0000,0.0000,640,570
LJ011-0092,43.931,0.0000,0.0000,0.0000,892,843
LJ006-0078,65.912,0.1538,0.0000,0.1538,488,512
LJ009-0147,45.576,0.0000,0.0000,0.0000,653,639
LJ028-0337,83.398,0.1333,0.0513,0.0667,546,592
LJ038-0210,71.241,0.0000,0.0000,0.0476,602,628
LJ029-0157,27.129,0.2917,0.0630,0.2917,840,793
LJ039-0026,34.584,0.0645,0.0159,0.0968,847,798
LJ040-0189,65.990,0.1250,0.0225,0.1875,665,693
LJ019-0136,35.812,0.0800,0.0229,0.0000,893,828
LJ002-0074,43.145,0.0800,0.0410,0.0400,863,840
LJ050-0102,67.513,0.6000,0.1167,0.4000,439,517
LJ002-0320,37.560,0.0000,0.0000,0.0000,590,562
LJ002-0100,51.128,0.0667,0.0312,0.0000,474,471
LJ014-0115,29.714,0.0000,0.0000,0.0000,241,219
LJ019-0276,40.196,0.0000,0.0000,0.0000,419,404
LJ048-0255,39.569,0.0435,0.0156,0.0435,861,816
LJ006-0195,33.397,0.0714,0.0000,0.0714,883,799
LJ005-0257,32.255,0.0000,0.0000,0.0000,589,543
LJ044-0042,60.653,0.0000,0.0000,0.0000,178,187
LJ042-0127,36.601,0.4167,0.0645,0.4167,494,495
LJ003-0050,65.114,0.2500,0.0476,0.0000,143,211
LJ036-0145,58.311,0.1429,0.0270,0.1429,270,297
LJ006-0068,63.071,0.0455,0.0182,0.0000,800,845
LJ001-0123,50.435,0.2308,0.1800,0.0769,326,317
LJ007-0189,30.300,0.0952,0.0204,0.0000,670,578
LJ027-0142,65.617,0.1000,0.0297,0.0000,737,755
LJ049-0158,41.286,0.2500,0.0083,0.2500,826,783
