utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,83.384,0.0476,0.0119,0.0000,558,651
LJ028-0353,60.876,0.0455,0.0303,0.0909,752,755
LJ049-0174,49.510,0.2222,0.0104,0.1667,685,672
LJ050-0184,51.191,0.0000,0.0000,0.0000,287,283
LJ017-0065,40.432,0.3125,0.2000,0.0625,487,475
LJ009-0246,62.208,0.0000,0.0000,0.0000,342,409
LJ016-0037,72.888,0.0526,0.0110,0.0000,630,670
LJ010-0315,64.831,0.0667,0.0308,0.0000,443,492
LJ003-0136,69.692,0.0000,0.0000,0.0000,680,801
LJ041-0179,71.353,0.0400,0.0259,0.0400,772,774
LJ016-0121,59.256,0.0400,0.0297,0.0800,690,703
LJ025-0082,57.104,0.1765,0.0625,0.0000,539,532
LJ003-0126,68.258,0.0714,0.0441,0.0000,449,498
LJ028-0183,71.291,0.1250,0.0462,0.0625,504,521
LJ017-0149,76.044,0.2105,0.0513,0.2105,573,595
LJ042-0110,76.617,0.2143,0.0938,0.2143,489,568
LJ009-0027,41.348,0.5000,0.2353,0.0000,129,130
LJ032-0201,65.542,0.0000,0.0000,0.0000,466,483
LJ007-0091,36.013,0.0556,0.0274,0.0556,511,482
LJ049-0039,46.185,0.0667,0.0132,0.0000,507,500
LJ019-0138,38.091,0.0870,0.0000,0.0000,754,703
LJ002-0260,61.261,0.0769,0.0484,0.0000,398,427
LJ009-0077,36.457,0.0000,0.0000,0.0000,465,432
LJ013-0028,74.534,0.0000,0.0000,0.0000,664,747
LJ034-0166,32.987,0.0000,0.0000,0.0000,606,557
LJ005-0116,46.424,0.1000,0.0426,0.0000,344,340
LJ010-0097,52.048,0.0000,0.0000,0.0000,746,735
LJ030-0146,60.494,0.2105,0.0426,0.2105,681,678
LJ037-0014,33.633,0.0769,0.0469,0.0769,444,423
LJ005-0131,38.384,0.0357,0.0078,0.0000,840,772
LJ004-0017,81.058,0.1429,0.1404,0.0714,410,442
LJ010-0147,81.530,0.1500,0.0106,0.2000,688,798
LJ021-0142,67.630,0.0000,0.0000,0.0000,318,390
LJ041-0097,97.017,0.6667,0.2812,0.1667,240,276
LJ028-0489,75.106,0.0714,0.0238,0.0357,801,825
LJ045-0082,38.940,0.0000,0.0000,0.0000,658,612
LJ009-0069,87.666,0.1250,0.0278,0.0000,504,535
LJ018-0328,47.481,0.0833,0.0317,0.0000,465,462
LJ001-0095,53.609,0.0909,0.0208,0.0000,343,361
LJ005-0037,64.155,0.0000,0.0000,0.0000,292,292
LJ031-0080,46.794,0.1250,0.0091,0.0833,790,746
LJ002-0132,74.780,0.0435,0.0270,0.0000,739,795
LJ042-0026,80.925,0.0769,0.0000,0.0000,792,845
LJ032-0209,37.747,0.0741,0.0224,0.0370,978,851
LJ028-0171,79.434,0.0556,0.0328,0.0000,462,523
LJ012-0077,56.933,0.0000,0.0000,0.0714,398,429
LJ041-0066,32.864,0.1818,0.0667,0.1818,407,354
LJ014-0322,70.600,0.1333,0.0290,0.0667,443,483
LJ015-0265,60.582,0.2500,0.1250,0.0000,110,137
LJ019-0286,67.533,0.1333,0.0571,0.0000,454,485
LJ029-0105,52.587,0.1304,0.0496,0.0435,767,762
LJ017-0100,60.551,0.0000,0.0000,0.0909,318,322
LJ040-0128,74.478,0.3077,0.0656,0.3077,428,493
LJ004-0164,42.038,0.0476,0.0515,0.0000,708,685
LJ034-0151,31.187,0.4286,0.0645,0.2857,216,203
LJ016-0002,42.238,0.0000,0.0000,0.0000,493,469
LJ003-0231,67.905,0.4286,0.1515,0.5000,462,497
LJ036-0092,70.219,0.1667,0.0435,0.4167,345,413
LJ031-0194,29.921,0.8333,0.0541,0.8333,287,259
LJ006-0040,70.502,0.0000,0.0000,0.0435,720,765
LJ042-0186,37.800,0.0000,0.0000,0.0714,493,491
LJ037-0242,45.744,0.1333,0.0556,0.2000,672,627
LJ005-0004,42.627,0.0000,0.0000,0.0000,352,342
LJ028-0376,78.135,0.0385,0.0089,0.0000,712,753
LJ033-0113,51.896,0.3636,0.0600,0.1818,316,320
LJ042-0057,80.965,0.0000,0.0000,0.0000,721,736
LJ004-0188,34.549,0.0000,0.0000,0.0833,405,349
LJ014-0333,39.665,0.0000,0.0000,0.0000,829,759
LJ029-0198,46.842,0.1111,0.0286,0.0556,690,652
LJ030-0253,46.636,0.0000,0.0000,0.0000,468,441
LJ002-0054,56.270,0.0000,0.0000,0.0000,651,664
LJ007-0149,33.122,0.0000,0.0000,0.0000,157,143
LJ045-0138,32.527,0.0000,0.0000,0.0000,641,570
LJ011-0092,47.984,0.0000,0.0000,0.0000,868,843
LJ006-0078,68.600,0.1538,0.0000,0.1538,485,512
