utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,83.408,0.0476,0.0357,0.0000,563,651
LJ028-0353,44.482,0.0909,0.0404,0.0909,774,755
LJ049-0174,50.765,0.2222,0.0312,0.1667,690,672
LJ050-0184,38.109,0.0000,0.0000,0.0000,300,283
LJ017-0065,36.588,0.1250,0.1333,0.0625,497,475
LJ009-0246,67.904,0.0000,0.0000,0.0000,356,409
LJ016-0037,65.092,0.0000,0.0000,0.0000,652,670
LJ010-0315,50.226,0.0000,0.0000,0.0000,454,492
LJ003-0136,72.950,0.0000,0.0000,0.0000,703,801
LJ041-0179,40.455,0.0000,0.0000,0.0400,798,774
LJ016-0121,54.084,0.0400,0.0297,0.0800,707,703
LJ025-0082,54.510,0.0588,0.0250,0.0000,561,532
LJ003-0126,67.080,0.0000,0.0000,0.0000,461,498
LJ028-0183,67.276,0.0625,0.0308,0.0625,508,521
LJ017-0149,71.708,0.1053,0.0128,0.2105,582,595
LJ042-0110,67.404,0.2143,0.0938,0.2143,510,568
LJ009-0027,35.628,0.0000,0.0000,0.0000,139,130
LJ032-0201,43.131,0.0000,0.0000,0.0000,487,483
LJ007-0091,30.701,0.0556,0.0274,0.0556,525,482
LJ049-0039,36.809,0.0000,0.0000,0.0000,518,500
LJ019-0138,34.515,0.0000,0.0000,0.0000,780,703
LJ002-0260,61.396,0.0000,0.0000,0.0000,408,427
LJ009-0077,32.018,0.0000,0.0000,0.0000,485,432
LJ013-0028,70.163,0.0000,0.0000,0.0000,688,747
LJ034-0166,29.902,0.0526,0.0111,0.0000,608,557
LJ005-0116,50.266,0.3000,0.0638,0.0000,344,340
LJ010-0097,37.211,0.0000,0.0000,0.0000,779,735
LJ030-0146,44.279,0.1579,0.0106,0.2105,704,678
LJ037-0014,32.728,0.0769,0.0312,0.0769,437,423
LJ005-0131,36.423,0.0000,0.0000,0.0000,849,772
LJ004-0017,88.202,0.2143,0.0526,0.0714,425,442
LJ010-0147,78.686,0.3000,0.0532,0.2000,714,798
LJ021-0142,68.912,0.0000,0.0000,0.0000,326,390
LJ041-0097,80.873,0.1667,0.1562,0.1667,250,276
LJ028-0489,46.155,0.0357,0.0079,0.0357,828,825
LJ045-0082,32.864,0.0000,0.0000,0.0000,666,612
LJ009-0069,62.836,0.0000,0.0000,0.0000,523,535
LJ018-0328,40.126,0.0000,0.0000,0.0000,487,462
LJ001-0095,46.226,0.3636,0.1250,0.0000,367,361
LJ005-0037,64.385,0.0000,0.0000,0.0000,289,292
LJ031-0080,40.709,0.0833,0.0000,0.0833,805,746
LJ002-0132,64.059,0.0870,0.0270,0.0000,754,795
LJ042-0026,76.503,0.0000,0.0000,0.0000,802,845
LJ032-0209,33.916,0.0741,0.0224,0.0370,987,851
LJ028-0171,74.910,0.0000,0.0000,0.0000,490,523
LJ012-0077,67.142,0.1429,0.1148,0.0714,414,429
LJ041-0066,29.572,0.1818,0.1000,0.1818,418,354
LJ014-0322,71.286,0.0667,0.0145,0.0667,444,483
LJ015-0265,59.239,0.0000,0.0000,0.0000,113,137
LJ019-0286,65.254,0.0000,0.0000,0.0000,462,485
LJ029-0105,46.403,0.0870,0.0165,0.0435,791,762
LJ017-0100,54.387,0.0000,0.0000,0.0909,322,322
LJ040-0128,74.313,0.3077,0.0492,0.3077,445,493
LJ004-0164,42.732,0.0952,0.0206,0.0000,721,685
LJ034-0151,28.551,0.4286,0.0645,0.2857,222,203
LJ016-0002,34.924,0.0000,0.0000,0.0000,512,469
LJ003-0231,65.759,0.2143,0.0606,0.5000,472,497
LJ036-0092,64.516,0.2500,0.1739,0.4167,364,413
LJ031-0194,26.239,0.8333,0.0000,0.8333,300,259
LJ006-0040,73.990,0.0000,0.0000,0.0435,760,765
LJ042-0186,38.357,0.0714,0.0133,0.0714,499,491
LJ037-0242,42.089,0.2000,0.0667,0.2000,681,627
LJ005-0004,39.728,0.0000,0.0000,0.0000,363,342
LJ028-0376,78.141,0.0000,0.0000,0.0000,715,753
LJ033-0113,36.166,0.3636,0.0400,0.1818,327,320
LJ042-0057,55.540,0.0000,0.0000,0.0000,757,736
LJ004-0188,29.695,0.0000,0.0000,0.0833,429,349
LJ014-0333,35.981,0.0000,0.0000,0.0000,836,759
LJ029-0198,39.139,0.1111,0.0286,0.0556,697,652
LJ030-0253,38.654,0.0000,0.0000,0.0000,492,441
LJ002-0054,56.174,0.0556,0.0104,0.0000,670,664
LJ007-0149,31.762,0.0000,0.0000,0.0000,164,143
LJ045-0138,29.947,0.0000,0.0000,0.0000,643,570
LJ011-0092,44.218,0.0000,0.0000,0.0000,885,843
LJ006-0078,70.522,0.1538,0.0000,0.1538,496,512
LJ009-0147,46.265,0.0000,0.0000,0.0000,649,639
LJ028-0337,82.416,0.2667,0.0769,0.0667,545,592
LJ038-0210,70.565,0.0476,0.0112,0.0476,602,628
LJ029-0157,27.797,0.2500,0.0236,0.2917,827,793
LJ039-0026,35.878,0.0323,0.0079,0.0968,848,798
LJ040-0189,75.616,0.1875,0.0562,0.1875,655,693
LJ019-0136,35.332,0.0400,0.0229,0.0000,894,828
LJ002-0074,43.208,0.1200,0.0410,0.0400,860,840
LJ050-0102,67.521,0.5000,0.1167,0.4000,443,517
LJ002-0320,37.586,0.0000,0.0000,0.0000,590,562
LJ002-0100,49.088,0.0667,0.0156,0.0000,475,471
LJ014-0115,28.908,0.1250,0.0270,0.0000,243,219
LJ019-0276,33.925,0.0000,0.0000,0.0000,424,404
LJ048-0255,37.002,0.0435,0.0156,0.0435,862,816
LJ006-0195,35.042,0.1071,0.0077,0.0714,880,799
LJ005-0257,31.425,0.0000,0.0000,0.0000,590,543
LJ044-0042,64.030,0.0000,0.0000,0.0000,175,187
LJ042-0127,52.218,0.3333,0.0806,0.4167,491,495
LJ003-0050,63.611,0.5000,0.1429,0.0000,144,211
LJ036-0145,57.601,0.2857,0.1351,0.1429,269,297
LJ006-0068,67.492,0.0000,0.0000,0.0000,810,845
LJ001-0123,48.390,0.1538,0.0800,0.0769,328,317
LJ007-0189,30.169,0.0476,0.0306,0.0000,670,578
LJ027-0142,66.968,0.0500,0.0198,0.0000,733,755
LJ049-0158,40.345,0.2500,0.0083,0.2500,828,783
