utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,81.720,0.0000,0.0000,0.0000,564,651
LJ028-0353,46.762,0.2273,0.1212,0.0909,766,755
LJ049-0174,47.932,0.1111,0.0208,0.1667,688,672
LJ050-0184,37.875,0.0000,0.0000,0.0000,297,283
LJ017-0065,37.398,0.1250,0.1167,0.0625,494,475
LJ009-0246,66.796,0.0000,0.0000,0.0000,355,409
LJ016-0037,64.151,0.0000,0.0000,0.0000,649,670
LJ010-0315,50.380,0.0000,0.0000,0.0000,453,492
LJ003-0136,69.097,0.0952,0.0110,0.0000,699,801
LJ041-0179,40.620,0.0400,0.0086,0.0400,796,774
LJ016-0121,62.080,0.0400,0.0297,0.0800,700,703
LJ025-0082,58.959,0.1765,0.0750,0.0000,553,532
LJ003-0126,67.707,0.0000,0.0000,0.0000,457,498
LJ028-0183,69.674,0.1250,0.0462,0.0625,500,521
LJ017-0149,71.240,0.2105,0.0385,0.2105,583,595
LJ042-0110,74.791,0.2143,0.1094,0.2143,505,568
LJ009-0027,37.736,0.0000,0.0000,0.0000,137,130
LJ032-0201,47.333,0.0000,0.0000,0.0000,486,483
LJ007-0091,31.556,0.0556,0.0274,0.0556,524,482
LJ049-0039,45.897,0.0000,0.0000,0.0000,509,500
LJ019-0138,35.572,0.0000,0.0000,0.0000,773,703
LJ002-0260,60.247,0.0000,0.0000,0.0000,412,427
LJ009-0077,31.715,0.0000,0.0000,0.0000,483,432
LJ013-0028,71.492,0.0455,0.0114,0.0000,683,747
LJ034-0166,29.664,0.0526,0.0556,0.0000,609,557
LJ005-0116,49.812,0.3000,0.0638,0.0000,341,340
LJ010-0097,42.978,0.0476,0.0099,0.0000,755,735
LJ030-0146,56.636,0.2105,0.0213,0.2105,695,678
LJ037-0014,33.742,0.0769,0.0625,0.0769,438,423
LJ005-0131,38.587,0.0000,0.0000,0.0000,845,772
LJ004-0017,88.936,0.1429,0.1228,0.0714,424,442
LJ010-0147,76.797,0.2000,0.0213,0.2000,712,798
LJ021-0142,68.838,0.0000,0.0000,0.0000,327,390
LJ041-0097,89.792,0.3333,0.2188,0.1667,245,276
LJ028-0489,75.846,0.0357,0.0079,0.0357,812,825
LJ045-0082,32.869,0.0000,0.0000,0.0000,668,612
LJ009-0069,84.203,0.0000,0.0000,0.0000,512,535
LJ018-0328,40.596,0.1667,0.0635,0.0000,485,462
LJ001-0095,53.868,0.3636,0.1042,0.0000,361,361
LJ005-0037,66.596,0.1250,0.0465,0.0000,288,292
LJ031-0080,42.415,0.1250,0.0091,0.0833,791,746
LJ002-0132,63.486,0.0435,0.0090,0.0000,752,795
LJ042-0026,77.055,0.0385,0.0169,0.0000,799,845
LJ032-0209,33.644,0.1111,0.0299,0.0370,974,851
LJ028-0171,71.921,0.0556,0.0164,0.0000,487,523
LJ012-0077,67.275,0.0000,0.0000,0.0714,416,429
LJ041-0066,31.297,0.1818,0.0833,0.1818,412,354
LJ014-0322,72.357,0.0667,0.0145,0.0667,442,483
LJ015-0265,62.016,0.2500,0.1250,0.0000,111,137
LJ019-0286,65.008,0.0667,0.0286,0.0000,459,485
LJ029-0105,49.478,0.1304,0.0413,0.0435,783,762
LJ017-0100,53.902,0.0000,0.0000,0.0909,321,322
LJ040-0128,73.075,0.3077,0.0492,0.3077,446,493
LJ004-0164,39.197,0.0476,0.0103,0.0000,714,685
LJ034-0151,28.514,0.2857,0.0000,0.2857,218,203
LJ016-0002,35.923,0.0000,0.0000,0.0000,507,469
LJ003-0231,67.802,0.2143,0.0606,0.5000,468,497
LJ036-0092,67.125,0.2500,0.1087,0.4167,363,413
LJ031-0194,27.595,0.8333,0.0000,0.8333,297,259
LJ006-0040,72.281,0.0435,0.0180,0.0435,755,765
LJ042-0186,38.849,0.0000,0.0000,0.0714,497,491
LJ037-0242,42.621,0.2000,0.0556,0.2000,674,627
LJ005-0004,39.095,0.0000,0.0000,0.0000,365,342
LJ028-0376,77.050,0.0000,0.0000,0.0000,712,753
LJ033-0113,36.809,0.3636,0.0600,0.1818,327,320
LJ042-0057,56.999,0.0000,0.0000,0.0000,753,736
LJ004-0188,30.211,0.0000,0.0000,0.0833,423,349
LJ014-0333,37.743,0.0370,0.0079,0.0000,834,759
LJ029-0198,41.374,0.1111,0.0286,0.0556,701,652
LJ030-0253,40.877,0.0000,0.0000,0.0000,491,441
LJ002-0054,55.354,0.0000,0.0000,0.0000,672,664
LJ007-0149,31.101,0.0000,0.0000,0.0000,163,143
LJ045-0138,32.830,0.0000,0.0000,0.0000,639,570
LJ011-0092,44.539,0.0000,0.0000,0.0000,888,843
LJ006-0078,66.957,0.1538,0.0000,0.1538,486,512
LJ009-0147,44.782,0.0000,0.0000,0.0000,651,639
LJ028-0337,81.932,0.2000,0.0769,0.0667,544,592
LJ038-0210,69.632,0.0000,0.0000,0.0476,601,628
LJ029-0157,28.392,0.3333,0.0709,0.2917,824,793
LJ039-0026,37.118,0.0968,0.0079,0.0968,836,798
LJ040-0189,76.973,0.1875,0.0562,0.1875,652,693
LJ019-0136,36.388,0.0800,0.0229,0.0000,888,828
LJ002-0074,45.122,0.0400,0.0328,0.0400,855,840
LJ050-0102,70.294,0.6000,0.1167,0.4000,435,517
LJ002-0320,39.435,0.0000,0.0000,0.0000,590,562
LJ002-0100,64.033,0.0000,0.0000,0.0000,467,471
LJ014-0115,30.672,0.0000,0.0000,0.0000,241,219
LJ019-0276,38.268,0.0000,0.0000,0.0000,417,404
LJ048-0255,38.572,0.0435,0.0156,0.0435,857,816
LJ006-0195,33.874,0.0714,0.0000,0.0714,873,799
LJ005-0257,32.438,0.0000,0.0000,0.0000,587,543
LJ044-0042,61.873,0.0000,0.0000,0.0000,175,187
LJ042-0127,39.042,0.4167,0.0323,0.4167,494,495
LJ003-0050,66.571,0.7500,0.0952,0.0000,143,211
LJ036-0145,56.523,0.2857,0.0541,0.1429,270,297
