utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,83.537,0.0476,0.0119,0.0000,555,651
LJ028-0353,44.052,0.1818,0.0606,0.0909,760,755
LJ049-0174,44.303,0.1667,0.0000,0.1667,704,672
LJ050-0184,41.895,0.0000,0.0000,0.0000,290,283
LJ017-0065,41.121,0.1250,0.1000,0.0625,493,475
LJ009-0246,66.418,0.0000,0.0000,0.0000,363,409
LJ016-0037,72.917,0.0000,0.0000,0.0000,638,670
LJ010-0315,57.012,0.0000,0.0000,0.0000,451,492
LJ003-0136,73.447,0.0000,0.0000,0.0000,707,801
LJ041-0179,82.373,0.0400,0.0259,0.0400,757,774
LJ016-0121,64.964,0.0400,0.0198,0.0800,705,703
LJ025-0082,61.732,0.0588,0.0250,0.0000,532,532
LJ003-0126,66.635,0.0000,0.0000,0.0000,466,498
LJ028-0183,61.830,0.0625,0.0308,0.0625,513,521
LJ017-0149,76.321,0.1053,0.0000,0.2105,584,595
LJ042-0110,78.375,0.3571,0.0938,0.2143,493,568
LJ009-0027,40.189,0.0000,0.0000,0.0000,137,130
LJ032-0201,63.533,0.0769,0.0156,0.0000,447,483
LJ007-0091,35.553,0.0556,0.0274,0.0556,515,482
LJ049-0039,41.426,0.0000,0.0000,0.0000,516,500
LJ019-0138,35.787,0.0000,0.0000,0.0000,783,703
LJ002-0260,61.547,0.0000,0.0000,0.0000,425,427
LJ009-0077,32.419,0.0000,0.0000,0.0000,478,432
LJ013-0028,75.410,0.0000,0.0000,0.0000,695,747
LJ034-0166,33.191,0.0000,0.0000,0.0000,616,557
LJ005-0116,40.160,0.1000,0.0213,0.0000,373,340
LJ010-0097,44.103,0.0000,0.0000,0.0000,757,735
LJ030-0146,57.147,0.1579,0.0106,0.2105,697,678
LJ037-0014,31.358,0.0769,0.0312,0.0769,441,423
LJ005-0131,47.366,0.0000,0.0000,0.0000,837,772
LJ004-0017,89.440,0.0714,0.0351,0.0714,426,442
LJ010-0147,79.375,0.2500,0.0851,0.2000,725,798
LJ021-0142,74.532,0.0000,0.0000,0.0000,312,390
LJ041-0097,77.781,0.1667,0.1562,0.1667,256,276
LJ028-0489,82.469,0.0357,0.0079,0.0357,806,825
LJ045-0082,39.443,0.0000,0.0000,0.0000,653,612
LJ009-0069,87.972,0.0625,0.0417,0.0000,502,535
LJ018-0328,46.110,0.0000,0.0000,0.0000,468,462
