utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,81.578,0.0476,0.0119,0.0000,560,651
LJ028-0353,42.259,0.2727,0.0909,0.0909,767,755
LJ049-0174,48.084,0.1111,0.0208,0.1667,686,672
LJ050-0184,39.031,0.0000,0.0000,0.0000,299,283
LJ017-0065,36.388,0.1250,0.1000,0.0625,489,475
LJ009-0246,66.227,0.1667,0.1316,0.0000,356,409
LJ016-0037,64.197,0.0000,0.0000,0.0000,650,670
LJ010-0315,49.354,0.0667,0.0308,0.0000,453,492
LJ003-0136,67.902,0.0000,0.0000,0.0000,709,801
LJ041-0179,41.029,0.0000,0.0000,0.0400,796,774
LJ016-0121,54.824,0.0400,0.0297,0.0800,705,703
LJ025-0082,55.438,0.0588,0.0125,0.0000,558,532
LJ003-0126,67.880,0.0000,0.0000,0.0000,459,498
LJ028-0183,66.254,0.0625,0.0308,0.0625,505,521
LJ017-0149,70.268,0.1579,0.0256,0.2105,584,595
LJ042-0110,69.586,0.1429,0.0781,0.2143,507,568
LJ009-0027,37.691,0.0000,0.0000,0.0000,137,130
LJ032-0201,46.955,0.0000,0.0000,0.0000,485,483
LJ007-0091,30.243,0.0556,0.0274,0.0556,521,482
LJ049-0039,41.525,0.0000,0.0000,0.0000,516,500
LJ019-0138,36.167,0.0000,0.0000,0.0000,771,703
LJ002-0260,61.314,0.0000,0.0000,0.0000,414,427
LJ009-0077,32.737,0.0000,0.0000,0.0000,484,432
LJ013-0028,70.219,0.0909,0.0568,0.0000,684,747
LJ034-0166,29.968,0.0526,0.0556,0.0000,609,557
LJ005-0116,49.241,0.2000,0.0638,0.0000,342,340
LJ010-0097,39.901,0.0476,0.0198,0.0000,765,735
LJ030-0146,56.736,0.2105,0.0638,0.2105,698,678
LJ037-0014,33.113,0.0769,0.0312,0.0769,440,423
LJ005-0131,38.016,0.0000,0.0000,0.0000,843,772
LJ004-0017,87.345,0.1429,0.0526,0.0714,423,442
LJ010-0147,77.266,0.2500,0.0213,0.2000,716,798
LJ021-0142,68.867,0.0000,0.0000,0.0000,325,390
LJ041-0097,86.614,0.1667,0.1562,0.1667,245,276
LJ028-0489,46.135,0.0357,0.0079,0.0357,825,825
LJ045-0082,33.799,0.0000,0.0000,0.0000,667,612
LJ009-0069,69.946,0.0000,0.0000,0.0000,520,535
LJ018-0328,38.941,0.1667,0.0317,0.0000,486,462
LJ001-0095,44.590,0.0909,0.0208,0.0000,367,361
LJ005-0037,65.011,0.0000,0.0000,0.0000,289,292
LJ031-0080,41.653,0.1250,0.0091,0.0833,796,746
LJ002-0132,65.720,0.0435,0.0270,0.0000,757,795
LJ042-0026,77.319,0.0000,0.0000,0.0000,798,845
LJ032-0209,33.628,0.1481,0.0373,0.0370,982,851
LJ028-0171,71.392,0.0556,0.0328,0.0000,487,523
LJ012-0077,66.555,0.0714,0.0164,0.0714,416,429
LJ041-0066,29.744,0.1818,0.1000,0.1818,417,354
LJ014-0322,70.690,0.1333,0.0290,0.0667,442,483
LJ015-0265,61.776,0.0000,0.0000,0.0000,112,137
LJ019-0286,64.197,0.1333,0.0571,0.0000,459,485
LJ029-0105,45.441,0.1739,0.0413,0.0435,789,762
LJ017-0100,50.253,0.0000,0.0000,0.0909,325,322
LJ040-0128,72.966,0.3846,0.0820,0.3077,444,493
LJ004-0164,38.007,0.0000,0.0000,0.0000,720,685
LJ034-0151,27.967,0.2857,0.0000,0.2857,218,203
LJ016-0002,36.939,0.0714,0.0141,0.0000,508,469
LJ003-0231,67.802,0.2857,0.0909,0.5000,466,497
LJ036-0092,66.870,0.2500,0.1957,0.4167,366,413
LJ031-0194,25.984,0.8333,0.0000,0.8333,301,259
LJ006-0040,73.762,0.0000,0.0000,0.0435,754,765
LJ042-0186,38.054,0.0714,0.0400,0.0714,498,491
LJ037-0242,41.555,0.1333,0.0667,0.2000,678,627
LJ005-0004,37.657,0.0000,0.0000,0.0000,365,342
LJ028-0376,77.609,0.0000,0.0000,0.0000,721,753
LJ033-0113,33.689,0.2727,0.0600,0.1818,329,320
LJ042-0057,61.338,0.0769,0.0319,0.0000,754,736
LJ004-0188,29.291,0.0000,0.0000,0.0833,428,349
LJ014-0333,37.105,0.0741,0.0079,0.0000,834,759
LJ029-0198,38.881,0.0556,0.0190,0.0556,705,652
LJ030-0253,40.804,0.0000,0.0000,0.0000,488,441
LJ002-0054,57.199,0.0000,0.0000,0.0000,668,664
LJ007-0149,30.342,0.0000,0.0000,0.0000,163,143
LJ045-0138,30.098,0.0000,0.0000,0.0000,642,570
LJ011-0092,44.593,0.0000,0.0000,0.0000,889,843
LJ006-0078,64.444,0.1538,0.0000,0.1538,490,512
LJ009-0147,45.890,0.0000,0.0000,0.0000,653,639
LJ028-0337,82.449,0.2667,0.1026,0.0667,546,592
LJ038-0210,71.030,0.0000,0.0000,0.0476,603,628
LJ029-0157,27.131,0.3333,0.0866,0.2917,840,793
LJ039-0026,36.022,0.0968,0.0079,0.0968,842,798
LJ040-0189,71.514,0.2500,0.0562,0.1875,660,693
LJ019-0136,36.895,0.0800,0.0305,0.0000,890,828
LJ002-0074,44.661,0.0400,0.0082,0.0400,855,840
LJ050-0102,65.456,0.6000,0.1500,0.4000,440,517
LJ002-0320,38.297,0.0556,0.0227,0.0000,585,562
LJ002-0100,48.399,0.0667,0.0312,0.0000,478,471
LJ014-0115,28.513,0.0000,0.0000,0.0000,242,219
LJ019-0276,38.477,0.0000,0.0000,0.0000,421,404
LJ048-0255,37.337,0.0435,0.0156,0.0435,867,816
LJ006-0195,34.454,0.0714,0.0000,0.0714,875,799
LJ005-0257,30.888,0.0000,0.0000,0.0000,594,543
LJ044-0042,61.706,0.1429,0.0556,0.0000,177,187
LJ042-0127,37.459,0.5000,0.0968,0.4167,494,495
LJ003-0050,58.561,0.2500,0.0476,0.0000,145,211
LJ036-0145,57.059,0.2857,0.0541,0.1429,271,297
LJ006-0068,61.163,0.0000,0.0000,0.0000,799,845
LJ001-0123,49.884,0.1538,0.1400,0.0769,326,317
LJ007-0189,29.673,0.0000,0.0000,0.0000,671,578
LJ027-0142,70.258,0.0000,0.0000,0.0000,731,755
LJ049-0158,41.197,0.2500,0.0083,0.2500,826,783
