utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,81.619,0.0000,0.0000,0.0000,562,651
LJ028-0353,46.219,0.0909,0.0404,0.0909,767,755
LJ049-0174,48.780,0.1111,0.0104,0.1667,694,672
LJ050-0184,38.223,0.0000,0.0000,0.0000,299,283
LJ017-0065,37.009,0.1250,0.1000,0.0625,494,475
LJ009-0246,68.380,0.0000,0.0000,0.0000,359,409
LJ016-0037,64.822,0.0000,0.0000,0.0000,650,670
LJ010-0315,51.600,0.0000,0.0000,0.0000,453,492
LJ003-0136,70.594,0.0000,0.0000,0.0000,700,801
LJ041-0179,39.925,0.0000,0.0000,0.0400,799,774
LJ016-0121,54.920,0.0400,0.0297,0.0800,709,703
LJ025-0082,56.650,0.1176,0.0375,0.0000,558,532
LJ003-0126,66.409,0.0000,0.0000,0.0000,457,498
LJ028-0183,69.916,0.1250,0.0769,0.0625,500,521
LJ017-0149,68.889,0.1053,0.0000,0.2105,585,595
LJ042-0110,68.795,0.2857,0.1406,0.2143,507,568
LJ009-0027,37.353,0.0000,0.0000,0.0000,139,130
LJ032-0201,42.748,0.0000,0.0000,0.0000,489,483
LJ007-0091,30.323,0.0556,0.0274,0.0556,527,482
LJ049-0039,38.975,0.0000,0.0000,0.0000,513,500
LJ019-0138,35.529,0.0000,0.0000,0.0000,778,703
LJ002-0260,57.972,0.0000,0.0000,0.0000,409,427
LJ009-0077,32.786,0.0833,0.0476,0.0000,483,432
LJ013-0028,67.632,0.0455,0.0227,0.0000,688,747
LJ034-0166,32.244,0.0526,0.0556,0.0000,608,557
LJ005-0116,49.362,0.2000,0.0213,0.0000,342,340
LJ010-0097,37.950,0.0000,0.0000,0.0000,767,735
LJ030-0146,54.832,0.2105,0.0532,0.2105,698,678
LJ037-0014,34.585,0.0769,0.0312,0.0769,444,423
LJ005-0131,38.122,0.0000,0.0000,0.0000,845,772
LJ004-0017,87.780,0.1429,0.1404,0.0714,421,442
LJ010-0147,76.793,0.2000,0.0000,0.2000,715,798
LJ021-0142,69.392,0.0000,0.0000,0.0000,325,390
LJ041-0097,86.355,0.1667,0.1562,0.1667,246,276
LJ028-0489,47.977,0.1071,0.0238,0.0357,824,825
