utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,80.111,0.0000,0.0000,0.0000,548,651
LJ028-0353,43.043,0.1364,0.0606,0.0909,765,755
LJ049-0174,52.372,0.1667,0.0417,0.1667,681,672
LJ050-0184,41.003,0.0000,0.0000,0.0000,292,283
LJ017-0065,40.371,0.1250,0.1333,0.0625,482,475
LJ009-0246,65.862,0.0000,0.0000,0.0000,351,409
LJ016-0037,65.742,0.0000,0.0000,0.0000,639,670
LJ010-0315,54.182,0.0000,0.0000,0.0000,449,492
LJ003-0136,72.363,0.0000,0.0000,0.0000,691,801
LJ041-0179,44.314,0.0400,0.0259,0.0400,785,774
LJ016-0121,68.343,0.0400,0.0297,0.0800,687,703
LJ025-0082,57.661,0.0588,0.0125,0.0000,552,532
LJ003-0126,67.739,0.0000,0.0000,0.0000,452,498
LJ028-0183,73.855,0.0625,0.0308,0.0625,494,521
LJ017-0149,72.935,0.2105,0.0513,0.2105,567,595
LJ042-0110,72.901,0.2143,0.1406,0.2143,501,568
LJ009-0027,40.620,0.5000,0.0588,0.0000,132,130
LJ032-0201,59.526,0.0769,0.0469,0.0000,471,483
LJ007-0091,33.181,0.1111,0.0411,0.0556,515,482
LJ049-0039,49.479,0.0000,0.0000,0.0000,504,500
LJ019-0138,36.891,0.0870,0.0294,0.0000,763,703
LJ002-0260,57.407,0.0000,0.0000,0.0000,398,427
LJ009-0077,32.062,0.0000,0.0000,0.0000,483,432
LJ013-0028,74.487,0.0000,0.0000,0.0000,685,747
LJ034-0166,30.706,0.0000,0.0000,0.0000,605,557
LJ005-0116,53.929,0.2000,0.0213,0.0000,341,340
LJ010-0097,46.513,0.0000,0.0000,0.0000,755,735
LJ030-0146,57.643,0.2632,0.0319,0.2105,688,678
LJ037-0014,35.265,0.2308,0.0469,0.0769,422,423
LJ005-0131,45.489,0.0000,0.0000,0.0000,825,772
LJ004-0017,87.223,0.0714,0.0351,0.0714,421,442
LJ010-0147,76.790,0.2500,0.0638,0.2000,710,798
LJ021-0142,70.050,0.0000,0.0000,0.0000,320,390
LJ041-0097,82.526,0.1667,0.1562,0.1667,256,276
LJ028-0489,77.120,0.0714,0.0159,0.0357,792,825
LJ045-0082,36.150,0.0000,0.0000,0.0000,657,612
LJ009-0069,79.906,0.0625,0.0417,0.0000,514,535
LJ018-0328,51.202,0.1667,0.0635,0.0000,468,462
LJ001-0095,47.513,0.2727,0.1042,0.0000,356,361
LJ005-0037,70.734,0.0000,0.0000,0.0000,287,292
LJ031-0080,41.581,0.1250,0.0091,0.0833,802,746
LJ002-0132,69.554,0.0000,0.0000,0.0000,745,795
LJ042-0026,81.207,0.0000,0.0000,0.0000,786,845
LJ032-0209,34.890,0.0741,0.0149,0.0370,968,851
LJ028-0171,77.761,0.0556,0.0164,0.0000,470,523
LJ012-0077,63.972,0.1429,0.0656,0.0714,412,429
LJ041-0066,30.712,0.1818,0.0833,0.1818,410,354
LJ014-0322,70.057,0.1333,0.0580,0.0667,434,483
LJ015-0265,63.401,0.0000,0.0000,0.0000,107,137
LJ019-0286,67.560,0.2667,0.1429,0.0000,448,485
LJ029-0105,55.438,0.1739,0.0744,0.0435,768,762
LJ017-0100,51.111,0.0000,0.0000,0.0909,327,322
LJ040-0128,74.323,0.2308,0.0328,0.3077,443,493
LJ004-0164,40.755,0.0476,0.0309,0.0000,708,685
LJ034-0151,27.906,0.2857,0.0000,0.2857,221,203
LJ016-0002,39.098,0.0000,0.0000,0.0000,498,469
LJ003-0231,59.946,0.5000,0.1212,0.5000,469,497
LJ036-0092,68.538,0.2500,0.1739,0.4167,359,413
LJ031-0194,25.867,0.8333,0.0000,0.8333,296,259
LJ006-0040,69.516,0.0435,0.0180,0.0435,746,765
LJ042-0186,77.235,0.0714,0.0133,0.0714,485,491
LJ037-0242,44.246,0.2000,0.0778,0.2000,676,627
LJ005-0004,43.965,0.0000,0.0000,0.0000,351,342
LJ028-0376,76.371,0.0000,0.0000,0.0000,708,753
LJ033-0113,39.546,0.3636,0.1000,0.1818,320,320
LJ042-0057,78.578,0.0000,0.0000,0.0000,725,736
LJ004-0188,29.445,0.0000,0.0000,0.0833,420,349
LJ014-0333,40.921,0.0370,0.0157,0.0000,826,759
