utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.116,0.0952,0.0714,0.0000,558,651
LJ028-0353,59.930,0.1364,0.0909,0.0909,752,755
LJ049-0174,49.929,0.2778,0.0312,0.1667,685,672
LJ050-0184,51.585,0.0000,0.0000,0.0000,287,283
LJ017-0065,40.627,0.1250,0.1333,0.0625,487,475
LJ009-0246,62.223,0.0000,0.0000,0.0000,342,409
LJ016-0037,73.419,0.0000,0.0000,0.0000,630,670
LJ010-0315,62.972,0.0000,0.0000,0.0000,443,492
LJ003-0136,69.246,0.1429,0.0330,0.0000,680,801
LJ041-0179,72.226,0.0400,0.0259,0.0400,772,774
LJ016-0121,59.131,0.0400,0.0297,0.0800,690,703
LJ025-0082,56.412,0.1765,0.0375,0.0000,539,532
LJ003-0126,68.010,0.1429,0.0000,0.0000,449,498
LJ028-0183,72.989,0.1250,0.0462,0.0625,504,521
LJ017-0149,75.940,0.2632,0.0641,0.2105,573,595
LJ042-0110,77.779,0.2143,0.0938,0.2143,489,568
LJ009-0027,43.028,0.2500,0.0588,0.0000,129,130
LJ032-0201,64.443,0.0769,0.0156,0.0000,466,483
LJ007-0091,35.829,0.0556,0.0274,0.0556,511,482
LJ049-0039,46.335,0.0000,0.0000,0.0000,507,500
LJ019-0138,38.050,0.0000,0.0000,0.0000,754,703
LJ002-0260,61.965,0.1538,0.0161,0.0000,398,427
LJ009-0077,36.388,0.0833,0.0635,0.0000,465,432
LJ013-0028,74.143,0.0000,0.0000,0.0000,664,747
LJ034-0166,32.788,0.0000,0.0000,0.0000,606,557
LJ005-0116,45.696,0.0000,0.0000,0.0000,344,340
LJ010-0097,52.614,0.0476,0.0099,0.0000,746,735
LJ030-0146,61.088,0.2105,0.0319,0.2105,681,678
LJ037-0014,34.891,0.1538,0.0781,0.0769,444,423
LJ005-0131,37.330,0.0000,0.0000,0.0000,840,772
LJ004-0017,81.043,0.0714,0.0175,0.0714,410,442
LJ010-0147,81.401,0.2500,0.0532,0.2000,688,798
LJ021-0142,66.725,0.0000,0.0000,0.0000,318,390
LJ041-0097,95.959,0.3333,0.1875,0.1667,240,276
LJ028-0489,75.858,0.0357,0.0079,0.0357,801,825
LJ045-0082,37.351,0.0000,0.0000,0.0000,658,612
LJ009-0069,87.448,0.1250,0.0278,0.0000,504,535
LJ018-0328,48.085,0.0000,0.0000,0.0000,465,462
LJ001-0095,54.373,0.3636,0.1042,0.0000,343,361
LJ005-0037,62.816,0.0000,0.0000,0.0000,292,292
LJ031-0080,46.816,0.0833,0.0000,0.0833,790,746
LJ002-0132,75.231,0.0870,0.0360,0.0000,739,795
LJ042-0026,80.895,0.0000,0.0000,0.0000,792,845
LJ032-0209,37.810,0.1111,0.0224,0.0370,978,851
LJ028-0171,81.239,0.1667,0.1148,0.0000,462,523
LJ012-0077,57.440,0.0714,0.0164,0.0714,398,429
LJ041-0066,31.772,0.1818,0.1000,0.1818,407,354
LJ014-0322,69.500,0.1333,0.0435,0.0667,443,483
LJ015-0265,57.701,0.0000,0.0000,0.0000,110,137
LJ019-0286,66.868,0.1333,0.0429,0.0000,454,485
LJ029-0105,53.741,0.1304,0.0413,0.0435,767,762
LJ017-0100,61.919,0.0000,0.0000,0.0909,318,322
LJ040-0128,74.811,0.3846,0.0984,0.3077,428,493
LJ004-0164,42.824,0.0476,0.0309,0.0000,708,685
LJ034-0151,33.321,0.2857,0.0000,0.2857,216,203
LJ016-0002,41.621,0.0000,0.0000,0.0000,493,469
LJ003-0231,67.294,0.4286,0.1364,0.5000,462,497
LJ036-0092,68.914,0.2500,0.1957,0.4167,345,413
LJ031-0194,29.322,0.8333,0.0000,0.8333,287,259
LJ006-0040,70.140,0.0435,0.0270,0.0435,720,765
LJ042-0186,40.727,0.1429,0.0000,0.0714,493,491
LJ037-0242,46.712,0.2000,0.1111,0.2000,672,627
LJ005-0004,43.719,0.0000,0.0000,0.0000,352,342
LJ028-0376,78.187,0.0000,0.0000,0.0000,712,753
LJ033-0113,51.370,0.2727,0.0400,0.1818,316,320
LJ042-0057,81.062,0.0385,0.0106,0.0000,721,736
LJ004-0188,32.603,0.0000,0.0000,0.0833,405,349
LJ014-0333,39.015,0.0000,0.0000,0.0000,829,759
LJ029-0198,45.650,0.1111,0.0571,0.0556,690,652
LJ030-0253,43.640,0.0000,0.0000,0.0000,468,441
LJ002-0054,56.419,0.0000,0.0000,0.0000,651,664
LJ007-0149,33.805,0.0000,0.0000,0.0000,157,143
LJ045-0138,32.052,0.0000,0.0000,0.0000,641,570
LJ011-0092,47.436,0.1034,0.0472,0.0000,868,843
LJ006-0078,67.358,0.1538,0.0000,0.1538,485,512
LJ009-0147,71.604,0.0952,0.0000,0.0000,624,639
LJ028-0337,82.227,0.0667,0.0513,0.0667,530,592
LJ038-0210,72.169,0.0952,0.0225,0.0476,591,628
LJ029-0157,39.234,0.3333,0.0787,0.2917,843,793
LJ039-0026,36.037,0.1290,0.0317,0.0968,843,798
LJ040-0189,82.297,0.2500,0.1236,0.1875,646,693
LJ019-0136,40.325,0.1600,0.0611,0.0000,880,828
LJ002-0074,43.410,0.1600,0.1066,0.0400,853,840
