utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.029,0.0476,0.0357,0.0000,559,651
LJ028-0353,43.279,0.2273,0.0909,0.0909,772,755
LJ049-0174,50.527,0.2222,0.0312,0.1667,694,672
LJ050-0184,39.398,0.2500,0.0769,0.0000,299,283
LJ017-0065,36.936,0.1250,0.1000,0.0625,497,475
LJ009-0246,66.205,0.0000,0.0000,0.0000,354,409
LJ016-0037,64.312,0.0000,0.0000,0.0000,656,670
LJ010-0315,50.918,0.0000,0.0000,0.0000,455,492
LJ003-0136,71.328,0.0476,0.0110,0.0000,697,801
LJ041-0179,41.052,0.0400,0.0172,0.0400,800,774
LJ016-0121,54.470,0.0800,0.0396,0.0800,705,703
LJ025-0082,57.545,0.0588,0.0125,0.0000,554,532
LJ003-0126,68.012,0.0000,0.0000,0.0000,458,498
LJ028-0183,66.767,0.0625,0.0308,0.0625,508,521
LJ017-0149,71.551,0.2105,0.0513,0.2105,582,595
LJ042-0110,72.403,0.2857,0.1250,0.2143,510,568
LJ009-0027,36.794,0.0000,0.0000,0.0000,136,130
LJ032-0201,43.225,0.0769,0.0156,0.0000,494,483
LJ007-0091,33.462,0.0556,0.0274,0.0556,522,482
LJ049-0039,42.293,0.0000,0.0000,0.0000,514,500
LJ019-0138,35.531,0.0000,0.0000,0.0000,787,703
LJ002-0260,61.426,0.0000,0.0000,0.0000,410,427
LJ009-0077,33.782,0.0000,0.0000,0.0000,483,432
LJ013-0028,74.286,0.0000,0.0000,0.0000,680,747
LJ034-0166,29.406,0.0000,0.0000,0.0000,610,557
LJ005-0116,46.357,0.2000,0.0213,0.0000,345,340
LJ010-0097,39.057,0.0476,0.0099,0.0000,768,735
LJ030-0146,58.114,0.1579,0.0213,0.2105,698,678
LJ037-0014,32.840,0.1538,0.0469,0.0769,451,423
LJ005-0131,37.014,0.0714,0.0155,0.0000,852,772
LJ004-0017,86.763,0.1429,0.1228,0.0714,427,442
LJ010-0147,76.521,0.2500,0.0638,0.2000,714,798
