utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.273,0.0476,0.0357,0.0000,570,651
LJ028-0353,48.647,0.1818,0.0707,0.0909,762,755
LJ049-0174,53.582,0.1667,0.0417,0.1667,692,672
LJ050-0184,42.821,0.0000,0.0000,0.0000,297,283
LJ017-0065,39.309,0.1875,0.1167,0.0625,497,475
LJ009-0246,65.445,0.0000,0.0000,0.0000,354,409
LJ016-0037,70.021,0.0000,0.0000,0.0000,642,670
LJ010-0315,51.161,0.0000,0.0000,0.0000,455,492
LJ003-0136,70.947,0.0000,0.0000,0.0000,693,801
LJ041-0179,43.050,0.0000,0.0000,0.0400,802,774
LJ016-0121,54.200,0.0400,0.0297,0.0800,714,703
LJ025-0082,62.076,0.1176,0.0500,0.0000,547,532
LJ003-0126,69.110,0.0000,0.0000,0.0000,460,498
LJ028-0183,68.943,0.1250,0.0462,0.0625,502,521
LJ017-0149,72.566,0.2105,0.0385,0.2105,585,595
LJ042-0110,71.813,0.2143,0.1094,0.2143,501,568
LJ009-0027,38.474,0.0000,0.0000,0.0000,141,130
LJ032-0201,47.683,0.0000,0.0000,0.0000,484,483
LJ007-0091,34.623,0.0556,0.0274,0.0556,519,482
LJ049-0039,39.823,0.0667,0.0132,0.0000,512,500
LJ019-0138,38.348,0.0000,0.0000,0.0000,771,703
LJ002-0260,61.759,0.0000,0.0000,0.0000,407,427
LJ009-0077,35.863,0.0000,0.0000,0.0000,478,432
LJ013-0028,67.191,0.0000,0.0000,0.0000,699,747
LJ034-0166,32.338,0.0000,0.0000,0.0000,606,557
LJ005-0116,52.960,0.0000,0.0000,0.0000,341,340
LJ010-0097,43.117,0.0000,0.0000,0.0000,761,735
LJ030-0146,58.542,0.2105,0.0319,0.2105,695,678
LJ037-0014,34.901,0.0769,0.0781,0.0769,457,423
LJ005-0131,41.619,0.0000,0.0000,0.0000,852,772
LJ004-0017,83.503,0.0714,0.0175,0.0714,432,442
LJ010-0147,77.163,0.3000,0.0319,0.2000,698,798
LJ021-0142,70.517,0.0000,0.0000,0.0000,320,390
LJ041-0097,84.281,0.3333,0.1875,0.1667,246,276
LJ028-0489,76.503,0.0357,0.0079,0.0357,816,825
LJ045-0082,36.043,0.0000,0.0000,0.0000,671,612
LJ009-0069,83.246,0.0000,0.0000,0.0000,512,535
LJ018-0328,41.156,0.0833,0.0317,0.0000,489,462
LJ001-0095,51.601,0.1818,0.0417,0.0000,359,361
LJ005-0037,68.883,0.0000,0.0000,0.0000,292,292
LJ031-0080,43.595,0.0833,0.0000,0.0833,796,746
LJ002-0132,62.176,0.0000,0.0000,0.0000,755,795
LJ042-0026,79.771,0.0385,0.0169,0.0000,794,845
LJ032-0209,35.361,0.1111,0.0448,0.0370,987,851
LJ028-0171,77.477,0.0556,0.0164,0.0000,480,523
LJ012-0077,64.197,0.1429,0.0492,0.0714,409,429
LJ041-0066,33.302,0.1818,0.1000,0.1818,416,354
LJ014-0322,67.853,0.1333,0.0435,0.0667,453,483
LJ015-0265,61.056,0.2500,0.1875,0.0000,112,137
LJ019-0286,64.744,0.1333,0.1143,0.0000,462,485
LJ029-0105,50.098,0.1304,0.0496,0.0435,781,762
LJ017-0100,52.262,0.0000,0.0000,0.0909,327,322
LJ040-0128,77.915,0.3077,0.0656,0.3077,443,493
LJ004-0164,39.414,0.0000,0.0000,0.0000,723,685
LJ034-0151,28.764,0.2857,0.0000,0.2857,220,203
LJ016-0002,40.603,0.0000,0.0000,0.0000,499,469
LJ003-0231,63.625,0.5000,0.1970,0.5000,481,497
LJ036-0092,67.643,0.2500,0.1304,0.4167,368,413
LJ031-0194,28.379,0.8333,0.0000,0.8333,302,259
LJ006-0040,72.413,0.1304,0.0541,0.0435,751,765
LJ042-0186,39.712,0.0000,0.0000,0.0714,497,491
LJ037-0242,45.415,0.1333,0.0444,0.2000,679,627
LJ005-0004,43.132,0.0000,0.0000,0.0000,367,342
LJ028-0376,80.399,0.0000,0.0000,0.0000,722,753
LJ033-0113,37.997,0.4545,0.1600,0.1818,326,320
LJ042-0057,69.629,0.0769,0.0213,0.0000,737,736
LJ004-0188,29.387,0.0000,0.0000,0.0833,429,349
LJ014-0333,39.995,0.0000,0.0000,0.0000,843,759
LJ029-0198,44.747,0.1111,0.0667,0.0556,694,652
LJ030-0253,43.344,0.0000,0.0000,0.0000,482,441
LJ002-0054,62.256,0.0000,0.0000,0.0000,667,664
LJ007-0149,34.938,0.0000,0.0000,0.0000,163,143
LJ045-0138,33.154,0.0000,0.0000,0.0000,651,570
LJ011-0092,46.099,0.0345,0.0079,0.0000,892,843
LJ006-0078,69.924,0.1538,0.0000,0.1538,486,512
LJ009-0147,49.817,0.0000,0.0000,0.0000,649,639
LJ028-0337,81.907,0.0667,0.0513,0.0667,541,592
LJ038-0210,71.075,0.0000,0.0000,0.0476,600,628
LJ029-0157,31.535,0.2917,0.0551,0.2917,848,793
LJ039-0026,38.158,0.0968,0.0079,0.0968,853,798
LJ040-0189,75.385,0.1875,0.0337,0.1875,659,693
LJ019-0136,37.431,0.1200,0.0305,0.0000,892,828
LJ002-0074,36.634,0.0800,0.0246,0.0400,863,840
LJ050-0102,70.833,0.6000,0.1833,0.4000,437,517
LJ002-0320,39.815,0.0000,0.0000,0.0000,580,562
LJ002-0100,43.464,0.0000,0.0000,0.0000,488,471
LJ014-0115,30.643,0.0000,0.0000,0.0000,247,219
LJ019-0276,40.688,0.0000,0.0000,0.0000,418,404
LJ048-0255,43.114,0.0435,0.0156,0.0435,849,816
LJ006-0195,35.720,0.0714,0.0154,0.0714,872,799
LJ005-0257,37.461,0.0000,0.0000,0.0000,585,543
LJ044-0042,67.381,0.1429,0.1111,0.0000,174,187
LJ042-0127,66.314,0.3333,0.0000,0.4167,482,495
LJ003-0050,62.262,0.2500,0.0476,0.0000,143,211
LJ036-0145,57.035,0.2857,0.1081,0.1429,271,297
LJ006-0068,70.013,0.1364,0.0545,0.0000,801,845
LJ001-0123,52.272,0.0769,0.0800,0.0769,322,317
LJ007-0189,32.920,0.0000,0.0000,0.0000,663,578
LJ027-0142,75.133,0.0000,0.0000,0.0000,719,755
LJ049-0158,45.129,0.2500,0.0083,0.2500,827,783
