utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.424,0.0000,0.0000,0.0000,564,651
LJ028-0353,50.111,0.1818,0.1010,0.0909,766,755
LJ049-0174,49.283,0.1667,0.0417,0.1667,688,672
LJ050-0184,39.246,0.0000,0.0000,0.0000,297,283
LJ017-0065,38.775,0.1250,0.0833,0.0625,494,475
LJ009-0246,66.999,0.0000,0.0000,0.0000,355,409
LJ016-0037,64.136,0.0000,0.0000,0.0000,649,670
LJ010-0315,51.241,0.0667,0.0308,0.0000,453,492
LJ003-0136,68.685,0.0476,0.0220,0.0000,699,801
LJ041-0179,40.464,0.0400,0.0259,0.0400,796,774
LJ016-0121,62.364,0.0400,0.0297,0.0800,700,703
LJ025-0082,56.032,0.0588,0.0125,0.0000,553,532
LJ003-0126,67.184,0.0000,0.0000,0.0000,457,498
LJ028-0183,68.605,0.0625,0.0308,0.0625,500,521
LJ017-0149,70.165,0.1579,0.0385,0.2105,583,595
LJ042-0110,74.859,0.2857,0.1406,0.2143,505,568
LJ009-0027,36.374,0.0000,0.0000,0.0000,137,130
LJ032-0201,47.479,0.0000,0.0000,0.0000,486,483
LJ007-0091,31.182,0.0556,0.0274,0.0556,524,482
LJ049-0039,45.026,0.0667,0.0132,0.0000,509,500
LJ019-0138,35.867,0.0000,0.0000,0.0000,773,703
LJ002-0260,62.074,0.0000,0.0000,0.0000,412,427
LJ009-0077,32.831,0.0000,0.0000,0.0000,483,432
LJ013-0028,71.810,0.0000,0.0000,0.0000,683,747
LJ034-0166,29.472,0.1053,0.0667,0.0000,609,557
LJ005-0116,48.773,0.2000,0.0213,0.0000,341,340
LJ010-0097,42.800,0.0476,0.0099,0.0000,755,735
LJ030-0146,56.118,0.1579,0.0106,0.2105,695,678
LJ037-0014,33.828,0.2308,0.0312,0.0769,438,423
LJ005-0131,36.922,0.0357,0.0078,0.0000,845,772
LJ004-0017,87.231,0.1429,0.0702,0.0714,424,442
LJ010-0147,75.479,0.3000,0.0957,0.2000,712,798
LJ021-0142,67.829,0.0000,0.0000,0.0000,327,390
LJ041-0097,90.397,0.1667,0.1562,0.1667,245,276
LJ028-0489,75.743,0.0357,0.0079,0.0357,812,825
LJ045-0082,31.985,0.0000,0.0000,0.0000,668,612
LJ009-0069,83.632,0.1250,0.0139,0.0000,512,535
LJ018-0328,40.250,0.0000,0.0000,0.0000,485,462
LJ001-0095,53.408,0.1818,0.0625,0.0000,361,361
LJ005-0037,66.975,0.1250,0.0233,0.0000,288,292
LJ031-0080,42.619,0.0833,0.0000,0.0833,791,746
LJ002-0132,64.551,0.0000,0.0000,0.0000,752,795
