utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,81.385,0.0476,0.0357,0.0000,560,651
LJ028-0353,43.259,0.1818,0.0707,0.0909,767,755
LJ049-0174,48.853,0.2222,0.0208,0.1667,686,672
LJ050-0184,38.863,0.0000,0.0000,0.0000,299,283
LJ017-0065,37.800,0.1250,0.1000,0.0625,489,475
LJ009-0246,67.623,0.0000,0.0000,0.0000,356,409
LJ016-0037,64.718,0.0000,0.0000,0.0000,650,670
LJ010-0315,49.059,0.0000,0.0000,0.0000,453,492
LJ003-0136,69.065,0.0000,0.0000,0.0000,709,801
LJ041-0179,41.362,0.0000,0.0000,0.0400,796,774
LJ016-0121,55.177,0.0400,0.0297,0.0800,705,703
LJ025-0082,51.603,0.0588,0.0125,0.0000,558,532
LJ003-0126,68.397,0.0000,0.0000,0.0000,459,498
LJ028-0183,66.105,0.0625,0.0308,0.0625,505,521
LJ017-0149,69.771,0.1579,0.0128,0.2105,584,595
LJ042-0110,69.499,0.2143,0.0938,0.2143,507,568
LJ009-0027,36.245,0.0000,0.0000,0.0000,137,130
LJ032-0201,44.940,0.0769,0.0156,0.0000,485,483
LJ007-0091,30.704,0.0556,0.0274,0.0556,521,482
LJ049-0039,41.215,0.0000,0.0000,0.0000,516,500
LJ019-0138,35.991,0.0870,0.0000,0.0000,771,703
LJ002-0260,62.002,0.0000,0.0000,0.0000,414,427
LJ009-0077,31.831,0.0000,0.0000,0.0000,484,432
LJ013-0028,71.412,0.0455,0.0227,0.0000,684,747
LJ034-0166,30.856,0.1053,0.0444,0.0000,609,557
LJ005-0116,51.347,0.4000,0.1064,0.0000,342,340
LJ010-0097,41.430,0.0476,0.0099,0.0000,765,735
LJ030-0146,56.321,0.2105,0.0319,0.2105,698,678
LJ037-0014,33.702,0.0769,0.0312,0.0769,440,423
LJ005-0131,38.695,0.0357,0.0078,0.0000,843,772
LJ004-0017,87.032,0.1429,0.1228,0.0714,423,442
LJ010-0147,76.968,0.2000,0.0532,0.2000,716,798
LJ021-0142,67.468,0.0000,0.0000,0.0000,325,390
LJ041-0097,87.617,0.1667,0.1562,0.1667,245,276
LJ028-0489,47.438,0.0357,0.0079,0.0357,825,825
LJ045-0082,33.402,0.0500,0.0104,0.0000,667,612
LJ009-0069,69.630,0.1250,0.0278,0.0000,520,535
LJ018-0328,40.267,0.0000,0.0000,0.0000,486,462
LJ001-0095,46.171,0.3636,0.0833,0.0000,367,361
LJ005-0037,65.079,0.0000,0.0000,0.0000,289,292
LJ031-0080,41.708,0.1250,0.0091,0.0833,796,746
LJ002-0132,64.487,0.0000,0.0000,0.0000,757,795
LJ042-0026,77.796,0.0000,0.0000,0.0000,798,845
LJ032-0209,34.197,0.0741,0.0149,0.0370,982,851
LJ028-0171,71.919,0.0000,0.0000,0.0000,487,523
LJ012-0077,66.940,0.0714,0.0164,0.0714,416,429
LJ041-0066,29.598,0.1818,0.1000,0.1818,417,354
LJ014-0322,71.299,0.0667,0.0145,0.0667,442,483
LJ015-0265,61.041,0.2500,0.1250,0.0000,112,137
LJ019-0286,63.798,0.0000,0.0000,0.0000,459,485
LJ029-0105,45.453,0.1739,0.0661,0.0435,789,762
LJ017-0100,51.935,0.0000,0.0000,0.0909,325,322
LJ040-0128,73.308,0.3077,0.0656,0.3077,444,493
LJ004-0164,37.555,0.0476,0.0515,0.0000,720,685
LJ034-0151,28.810,0.2857,0.0000,0.2857,218,203
LJ016-0002,37.130,0.0714,0.0704,0.0000,508,469
LJ003-0231,68.154,0.2143,0.1061,0.5000,466,497
LJ036-0092,64.733,0.2500,0.1739,0.4167,366,413
LJ031-0194,26.532,0.8333,0.0000,0.8333,301,259
LJ006-0040,73.805,0.0000,0.0000,0.0435,754,765
LJ042-0186,37.849,0.0000,0.0000,0.0714,498,491
LJ037-0242,42.139,0.0667,0.0333,0.2000,678,627
LJ005-0004,38.949,0.0000,0.0000,0.0000,365,342
LJ028-0376,77.649,0.0385,0.0268,0.0000,721,753
LJ033-0113,34.618,0.3636,0.0400,0.1818,329,320
LJ042-0057,62.414,0.0385,0.0106,0.0000,754,736
LJ004-0188,29.253,0.0000,0.0000,0.0833,428,349
LJ014-0333,35.943,0.0000,0.0000,0.0000,834,759
LJ029-0198,39.064,0.1111,0.0286,0.0556,705,652
LJ030-0253,40.311,0.0000,0.0000,0.0000,488,441
LJ002-0054,56.521,0.0556,0.0104,0.0000,668,664
LJ007-0149,30.819,0.0000,0.0000,0.0000,163,143
LJ045-0138,29.459,0.0000,0.0000,0.0000,642,570
LJ011-0092,44.885,0.0000,0.0000,0.0000,889,843
LJ006-0078,65.097,0.2308,0.0294,0.1538,490,512
LJ009-0147,45.227,0.0000,0.0000,0.0000,653,639
