utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.114,0.0476,0.0238,0.0000,559,651
LJ028-0353,43.622,0.1818,0.1010,0.0909,772,755
LJ049-0174,50.409,0.1667,0.0417,0.1667,694,672
LJ050-0184,38.320,0.0000,0.0000,0.0000,299,283
LJ017-0065,36.991,0.1250,0.0833,0.0625,497,475
LJ009-0246,65.777,0.0000,0.0000,0.0000,354,409
LJ016-0037,64.547,0.0000,0.0000,0.0000,656,670
LJ010-0315,49.994,0.0000,0.0000,0.0000,455,492
LJ003-0136,71.552,0.0000,0.0000,0.0000,697,801
LJ041-0179,39.937,0.0000,0.0000,0.0400,800,774
LJ016-0121,58.003,0.0400,0.0297,0.0800,705,703
LJ025-0082,57.423,0.0588,0.0125,0.0000,554,532
LJ003-0126,67.864,0.1429,0.0588,0.0000,458,498
LJ028-0183,67.530,0.0625,0.0308,0.0625,508,521
LJ017-0149,70.907,0.2105,0.0641,0.2105,582,595
LJ042-0110,72.536,0.2143,0.0938,0.2143,510,568
LJ009-0027,38.644,0.0000,0.0000,0.0000,136,130
LJ032-0201,42.495,0.0000,0.0000,0.0000,494,483
LJ007-0091,34.095,0.0556,0.0274,0.0556,522,482
LJ049-0039,43.468,0.0000,0.0000,0.0000,514,500
LJ019-0138,34.652,0.0000,0.0000,0.0000,787,703
LJ002-0260,61.457,0.0000,0.0000,0.0000,410,427
LJ009-0077,32.453,0.0000,0.0000,0.0000,483,432
LJ013-0028,74.529,0.0000,0.0000,0.0000,680,747
LJ034-0166,29.218,0.0526,0.0333,0.0000,610,557
LJ005-0116,47.255,0.0000,0.0000,0.0000,345,340
LJ010-0097,39.092,0.0476,0.0198,0.0000,768,735
LJ030-0146,58.100,0.2105,0.0213,0.2105,698,678
LJ037-0014,33.188,0.0769,0.0312,0.0769,451,423
LJ005-0131,36.972,0.0000,0.0000,0.0000,852,772
LJ004-0017,85.714,0.0714,0.0175,0.0714,427,442
LJ010-0147,78.134,0.3000,0.0851,0.2000,714,798
LJ021-0142,68.239,0.0000,0.0000,0.0000,329,390
LJ041-0097,83.914,0.1667,0.1562,0.1667,248,276
LJ028-0489,71.838,0.0714,0.0317,0.0357,822,825
LJ045-0082,34.365,0.0000,0.0000,0.0000,668,612
LJ009-0069,67.587,0.0000,0.0000,0.0000,523,535
LJ018-0328,39.190,0.0833,0.0159,0.0000,482,462
LJ001-0095,49.333,0.1818,0.0417,0.0000,366,361
LJ005-0037,64.067,0.0000,0.0000,0.0000,291,292
LJ031-0080,42.145,0.0833,0.0000,0.0833,802,746
LJ002-0132,66.549,0.0870,0.0450,0.0000,755,795
LJ042-0026,76.295,0.0000,0.0000,0.0000,803,845
LJ032-0209,34.395,0.0741,0.0149,0.0370,982,851
LJ028-0171,72.839,0.0000,0.0000,0.0000,487,523
LJ012-0077,65.147,0.0000,0.0000,0.0714,415,429
LJ041-0066,30.134,0.1818,0.1000,0.1818,413,354
LJ014-0322,67.710,0.0667,0.0145,0.0667,448,483
LJ015-0265,57.694,0.0000,0.0000,0.0000,111,137
LJ019-0286,64.125,0.0667,0.0286,0.0000,460,485
LJ029-0105,42.825,0.1304,0.0248,0.0435,790,762
LJ017-0100,49.683,0.0000,0.0000,0.0909,327,322
LJ040-0128,73.451,0.3077,0.0656,0.3077,448,493
LJ004-0164,39.436,0.0000,0.0000,0.0000,724,685
LJ034-0151,29.010,0.2857,0.0000,0.2857,220,203
LJ016-0002,36.568,0.0000,0.0000,0.0000,509,469
LJ003-0231,57.276,0.4286,0.1515,0.5000,479,497
LJ036-0092,64.615,0.2500,0.1304,0.4167,368,413
LJ031-0194,28.097,0.8333,0.0000,0.8333,298,259
LJ006-0040,68.931,0.0435,0.0090,0.0435,750,765
LJ042-0186,39.241,0.0000,0.0000,0.0714,500,491
LJ037-0242,42.094,0.1333,0.0778,0.2000,689,627
LJ005-0004,38.284,0.0000,0.0000,0.0000,366,342
LJ028-0376,77.357,0.0385,0.0089,0.0000,719,753
LJ033-0113,39.347,0.2727,0.0200,0.1818,325,320
LJ042-0057,55.503,0.0000,0.0000,0.0000,758,736
LJ004-0188,30.298,0.0000,0.0000,0.0833,428,349
LJ014-0333,38.008,0.0370,0.0079,0.0000,839,759
LJ029-0198,37.875,0.1111,0.0286,0.0556,704,652
LJ030-0253,39.181,0.0000,0.0000,0.0000,491,441
LJ002-0054,60.937,0.0000,0.0000,0.0000,666,664
LJ007-0149,30.220,0.0000,0.0000,0.0000,162,143
LJ045-0138,31.442,0.0000,0.0000,0.0000,647,570
LJ011-0092,44.497,0.0000,0.0000,0.0000,889,843
LJ006-0078,69.128,0.1538,0.0000,0.1538,494,512
LJ009-0147,45.731,0.0000,0.0000,0.0000,652,639
LJ028-0337,80.824,0.0667,0.0513,0.0667,543,592
LJ038-0210,70.490,0.0000,0.0000,0.0476,606,628
LJ029-0157,32.755,0.2500,0.0551,0.2917,851,793
LJ039-0026,35.131,0.1290,0.0159,0.0968,847,798
LJ040-0189,76.775,0.2500,0.0899,0.1875,655,693
LJ019-0136,35.195,0.1200,0.0687,0.0000,894,828
LJ002-0074,42.456,0.0800,0.0328,0.0400,867,840
LJ050-0102,67.636,0.6000,0.0667,0.4000,444,517
LJ002-0320,38.785,0.0000,0.0000,0.0000,586,562
LJ002-0100,51.087,0.0667,0.0312,0.0000,474,471
LJ014-0115,30.730,0.0000,0.0000,0.0000,242,219
LJ019-0276,37.063,0.0000,0.0000,0.0000,417,404
LJ048-0255,38.299,0.0435,0.0156,0.0435,863,816
LJ006-0195,33.921,0.1071,0.0077,0.0714,876,799
LJ005-0257,32.584,0.0000,0.0000,0.0000,587,543
LJ044-0042,64.789,0.0000,0.0000,0.0000,177,187
LJ042-0127,40.730,0.5000,0.0645,0.4167,496,495
LJ003-0050,67.367,0.2500,0.0476,0.0000,144,211
LJ036-0145,55.927,0.2857,0.0541,0.1429,272,297
LJ006-0068,68.937,0.0455,0.0182,0.0000,804,845
LJ001-0123,47.930,0.2308,0.1600,0.0769,328,317
LJ007-0189,31.419,0.0000,0.0000,0.0000,671,578
LJ027-0142,66.075,0.0000,0.0000,0.0000,741,755
LJ049-0158,41.969,0.2500,0.0083,0.2500,828,783
