utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,81.722,0.0476,0.0119,0.0000,548,651
LJ028-0353,57.137,0.1818,0.0909,0.0909,753,755
LJ049-0174,49.406,0.1111,0.0104,0.1667,689,672
LJ050-0184,40.430,0.1250,0.0513,0.0000,296,283
LJ017-0065,37.875,0.2500,0.1500,0.0625,491,475
LJ009-0246,66.042,0.0000,0.0000,0.0000,348,409
LJ016-0037,67.517,0.0000,0.0000,0.0000,644,670
LJ010-0315,54.088,0.0000,0.0000,0.0000,452,492
LJ003-0136,70.149,0.0000,0.0000,0.0000,687,801
LJ041-0179,40.718,0.0400,0.0259,0.0400,793,774
LJ016-0121,63.048,0.0400,0.0297,0.0800,703,703
LJ025-0082,58.743,0.1176,0.0250,0.0000,547,532
LJ003-0126,69.429,0.0000,0.0000,0.0000,459,498
LJ028-0183,70.455,0.0625,0.0308,0.0625,498,521
LJ017-0149,72.873,0.1579,0.0128,0.2105,576,595
LJ042-0110,72.989,0.2857,0.1094,0.2143,504,568
LJ009-0027,36.943,0.0000,0.0000,0.0000,136,130
LJ032-0201,62.390,0.0000,0.0000,0.0000,477,483
LJ007-0091,32.907,0.0556,0.0137,0.0556,521,482
LJ049-0039,44.313,0.0667,0.0132,0.0000,517,500
LJ019-0138,35.879,0.0000,0.0000,0.0000,768,703
LJ002-0260,60.234,0.0000,0.0000,0.0000,406,427
LJ009-0077,33.687,0.0000,0.0000,0.0000,475,432
LJ013-0028,72.323,0.0000,0.0000,0.0000,686,747
LJ034-0166,32.281,0.1053,0.0111,0.0000,606,557
LJ005-0116,50.129,0.0000,0.0000,0.0000,345,340
LJ010-0097,46.652,0.0000,0.0000,0.0000,754,735
LJ030-0146,55.111,0.2105,0.0319,0.2105,691,678
LJ037-0014,34.537,0.0769,0.0312,0.0769,442,423
LJ005-0131,40.763,0.0000,0.0000,0.0000,846,772
LJ004-0017,87.187,0.0714,0.1053,0.0714,420,442
LJ010-0147,75.877,0.3000,0.0851,0.2000,707,798
LJ021-0142,68.428,0.0000,0.0000,0.0000,322,390
LJ041-0097,82.152,0.3333,0.1875,0.1667,248,276
LJ028-0489,74.549,0.0714,0.0238,0.0357,817,825
LJ045-0082,33.482,0.0000,0.0000,0.0000,669,612
LJ009-0069,86.740,0.0000,0.0000,0.0000,508,535
LJ018-0328,40.161,0.0000,0.0000,0.0000,481,462
LJ001-0095,54.907,0.2727,0.0833,0.0000,364,361
LJ005-0037,66.734,0.0000,0.0000,0.0000,289,292
LJ031-0080,46.053,0.0833,0.0000,0.0833,797,746
LJ002-0132,66.704,0.0870,0.0360,0.0000,743,795
LJ042-0026,79.719,0.0000,0.0000,0.0000,793,845
LJ032-0209,34.630,0.0741,0.0224,0.0370,977,851
LJ028-0171,73.828,0.0000,0.0000,0.0000,484,523
LJ012-0077,64.187,0.0714,0.0492,0.0714,411,429
LJ041-0066,30.453,0.1818,0.1000,0.1818,413,354
LJ014-0322,74.523,0.1333,0.0435,0.0667,436,483
LJ015-0265,59.878,0.0000,0.0000,0.0000,111,137
LJ019-0286,68.230,0.1333,0.0857,0.0000,452,485
LJ029-0105,53.200,0.1304,0.0413,0.0435,780,762
LJ017-0100,50.944,0.0000,0.0000,0.0909,323,322
LJ040-0128,72.322,0.2308,0.0328,0.3077,445,493
LJ004-0164,39.867,0.0952,0.0206,0.0000,707,685
LJ034-0151,30.603,0.2857,0.0000,0.2857,216,203
LJ016-0002,40.184,0.0000,0.0000,0.0000,501,469
LJ003-0231,65.243,0.3571,0.1061,0.5000,473,497
LJ036-0092,66.810,0.2500,0.2174,0.4167,367,413
LJ031-0194,27.088,0.8333,0.0000,0.8333,300,259
LJ006-0040,70.480,0.0000,0.0000,0.0435,748,765
LJ042-0186,37.771,0.0000,0.0000,0.0714,494,491
LJ037-0242,42.831,0.0667,0.0333,0.2000,678,627
LJ005-0004,41.955,0.0000,0.0000,0.0000,364,342
LJ028-0376,77.535,0.0385,0.0268,0.0000,712,753
LJ033-0113,37.938,0.3636,0.0600,0.1818,324,320
LJ042-0057,80.222,0.0385,0.0106,0.0000,731,736
LJ004-0188,29.510,0.0000,0.0000,0.0833,419,349
LJ014-0333,38.642,0.0000,0.0000,0.0000,825,759
LJ029-0198,42.744,0.1111,0.0286,0.0556,695,652
LJ030-0253,40.396,0.0000,0.0000,0.0000,485,441
LJ002-0054,64.984,0.0000,0.0000,0.0000,661,664
LJ007-0149,29.047,0.0000,0.0000,0.0000,163,143
LJ045-0138,31.364,0.0000,0.0000,0.0000,633,570
LJ011-0092,45.676,0.0000,0.0000,0.0000,884,843
LJ006-0078,73.264,0.1538,0.0000,0.1538,489,512
LJ009-0147,46.696,0.0000,0.0000,0.0000,645,639
LJ028-0337,80.855,0.0667,0.0385,0.0667,541,592
LJ038-0210,71.457,0.0000,0.0000,0.0476,598,628
LJ029-0157,29.196,0.2500,0.0472,0.2917,833,793
LJ039-0026,35.856,0.1935,0.0714,0.0968,846,798
LJ040-0189,75.412,0.2500,0.0787,0.1875,659,693
LJ019-0136,36.698,0.1200,0.0305,0.0000,883,828
LJ002-0074,38.366,0.0800,0.0328,0.0400,855,840
LJ050-0102,76.287,0.6000,0.1167,0.4000,430,517
LJ002-0320,38.386,0.1111,0.0341,0.0000,582,562
LJ002-0100,53.978,0.0667,0.0312,0.0000,473,471
LJ014-0115,29.424,0.0000,0.0000,0.0000,243,219
LJ019-0276,44.301,0.0000,0.0000,0.0000,414,404
LJ048-0255,41.768,0.0435,0.0156,0.0435,853,816
LJ006-0195,37.079,0.0714,0.0000,0.0714,866,799
LJ005-0257,34.758,0.0000,0.0000,0.0000,586,543
LJ044-0042,59.785,0.1429,0.1111,0.0000,178,187
LJ042-0127,53.289,0.3333,0.0806,0.4167,487,495
LJ003-0050,64.901,0.7500,0.2381,0.0000,143,211
LJ036-0145,55.436,0.2857,0.0541,0.1429,266,297
LJ006-0068,63.487,0.0000,0.0000,0.0000,795,845
LJ001-0123,50.628,0.1538,0.1200,0.0769,321,317
LJ007-0189,31.463,0.0000,0.0000,0.0000,662,578
LJ027-0142,76.749,0.0500,0.0099,0.0000,722,755
LJ049-0158,45.623,0.2500,0.0083,0.2500,815,783
