utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.702,0.0000,0.0000,0.0000,561,651
LJ028-0353,45.198,0.1818,0.0808,0.0909,776,755
LJ049-0174,49.775,0.1667,0.0104,0.1667,697,672
LJ050-0184,39.975,0.0000,0.0000,0.0000,295,283
LJ017-0065,39.243,0.1250,0.1000,0.0625,493,475
LJ009-0246,63.342,0.0000,0.0000,0.0000,340,409
LJ016-0037,70.125,0.0000,0.0000,0.0000,647,670
LJ010-0315,48.319,0.0000,0.0000,0.0000,453,492
LJ003-0136,69.180,0.0000,0.0000,0.0000,702,801
LJ041-0179,43.669,0.0400,0.0086,0.0400,797,774
LJ016-0121,50.641,0.0400,0.0297,0.0800,711,703
LJ025-0082,56.121,0.0588,0.0125,0.0000,554,532
LJ003-0126,69.125,0.0000,0.0000,0.0000,468,498
LJ028-0183,61.527,0.0625,0.0308,0.0625,513,521
LJ017-0149,67.995,0.3158,0.0897,0.2105,589,595
LJ042-0110,69.077,0.2143,0.1250,0.2143,504,568
LJ009-0027,38.323,0.5000,0.2353,0.0000,137,130
LJ032-0201,63.397,0.0000,0.0000,0.0000,475,483
LJ007-0091,35.001,0.0556,0.0274,0.0556,524,482
LJ049-0039,41.085,0.0000,0.0000,0.0000,521,500
LJ019-0138,35.995,0.0000,0.0000,0.0000,772,703
LJ002-0260,62.375,0.0000,0.0000,0.0000,407,427
LJ009-0077,33.201,0.0000,0.0000,0.0000,483,432
LJ013-0028,68.686,0.0000,0.0000,0.0000,686,747
LJ034-0166,30.906,0.0000,0.0000,0.0000,623,557
LJ005-0116,48.119,0.1000,0.0638,0.0000,345,340
LJ010-0097,48.767,0.0000,0.0000,0.0000,755,735
LJ030-0146,45.538,0.2105,0.0426,0.2105,707,678
LJ037-0014,33.681,0.1538,0.0312,0.0769,452,423
LJ005-0131,42.228,0.0000,0.0000,0.0000,854,772
LJ004-0017,83.987,0.0714,0.0526,0.0714,431,442
LJ010-0147,77.947,0.2000,0.0426,0.2000,703,798
LJ021-0142,71.150,0.0000,0.0000,0.0000,329,390
LJ041-0097,95.828,0.3333,0.1875,0.1667,243,276
LJ028-0489,45.288,0.0357,0.0079,0.0357,830,825
LJ045-0082,36.425,0.0000,0.0000,0.0000,664,612
LJ009-0069,65.367,0.0000,0.0000,0.0000,524,535
LJ018-0328,40.599,0.0000,0.0000,0.0000,486,462
LJ001-0095,51.804,0.0000,0.0000,0.0000,358,361
LJ005-0037,59.746,0.0000,0.0000,0.0000,294,292
LJ031-0080,40.151,0.0833,0.0000,0.0833,814,746
LJ002-0132,66.879,0.0000,0.0000,0.0000,757,795
LJ042-0026,76.928,0.0385,0.0085,0.0000,810,845
LJ032-0209,35.260,0.0370,0.0075,0.0370,997,851
LJ028-0171,74.027,0.1667,0.0984,0.0000,480,523
LJ012-0077,66.261,0.1429,0.0820,0.0714,412,429
LJ041-0066,32.656,0.2727,0.1167,0.1818,420,354
LJ014-0322,67.865,0.1333,0.0435,0.0667,449,483
LJ015-0265,56.448,0.0000,0.0000,0.0000,113,137
LJ019-0286,70.115,0.0000,0.0000,0.0000,468,485
LJ029-0105,46.941,0.1304,0.0496,0.0435,789,762
LJ017-0100,49.436,0.0000,0.0000,0.0909,330,322
LJ040-0128,71.026,0.3077,0.0492,0.3077,447,493
LJ004-0164,45.029,0.0000,0.0000,0.0000,728,685
LJ034-0151,31.519,0.2857,0.0000,0.2857,222,203
LJ016-0002,37.765,0.0714,0.0141,0.0000,508,469
LJ003-0231,64.011,0.2857,0.1364,0.5000,479,497
LJ036-0092,68.275,0.2500,0.1957,0.4167,362,413
