utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,81.421,0.0000,0.0000,0.0000,570,651
LJ028-0353,49.001,0.1364,0.0505,0.0909,762,755
LJ049-0174,51.427,0.1111,0.0208,0.1667,692,672
LJ050-0184,41.484,0.0000,0.0000,0.0000,297,283
LJ017-0065,39.947,0.1250,0.0500,0.0625,497,475
LJ009-0246,66.448,0.0000,0.0000,0.0000,354,409
LJ016-0037,71.268,0.0000,0.0000,0.0000,642,670
LJ010-0315,51.756,0.0000,0.0000,0.0000,455,492
LJ003-0136,71.270,0.0476,0.0110,0.0000,693,801
LJ041-0179,42.853,0.0000,0.0000,0.0400,802,774
LJ016-0121,53.871,0.0400,0.0297,0.0800,714,703
LJ025-0082,58.652,0.0588,0.0250,0.0000,547,532
LJ003-0126,67.936,0.0000,0.0000,0.0000,460,498
LJ028-0183,69.218,0.0625,0.0308,0.0625,502,521
LJ017-0149,71.174,0.2105,0.0385,0.2105,585,595
LJ042-0110,71.455,0.1429,0.0781,0.2143,501,568
LJ009-0027,37.202,0.0000,0.0000,0.0000,141,130
LJ032-0201,46.674,0.0000,0.0000,0.0000,484,483
LJ007-0091,34.421,0.1111,0.0411,0.0556,519,482
LJ049-0039,38.598,0.0000,0.0000,0.0000,512,500
LJ019-0138,38.439,0.0000,0.0000,0.0000,771,703
LJ002-0260,62.156,0.0000,0.0000,0.0000,407,427
LJ009-0077,35.835,0.0000,0.0000,0.0000,478,432
LJ013-0028,67.711,0.0000,0.0000,0.0000,699,747
LJ034-0166,32.397,0.0526,0.0111,0.0000,606,557
LJ005-0116,52.314,0.3000,0.0426,0.0000,341,340
LJ010-0097,43.113,0.0000,0.0000,0.0000,761,735
LJ030-0146,58.812,0.2105,0.0319,0.2105,695,678
LJ037-0014,34.656,0.0769,0.0312,0.0769,457,423
LJ005-0131,41.466,0.0357,0.0078,0.0000,852,772
LJ004-0017,83.604,0.0714,0.1053,0.0714,432,442
LJ010-0147,75.995,0.1500,0.0106,0.2000,698,798
LJ021-0142,70.010,0.0000,0.0000,0.0000,320,390
LJ041-0097,84.290,0.3333,0.1875,0.1667,246,276
LJ028-0489,76.114,0.0714,0.0238,0.0357,816,825
LJ045-0082,36.629,0.0000,0.0000,0.0000,671,612
LJ009-0069,84.098,0.0000,0.0000,0.0000,512,535
LJ018-0328,40.245,0.1667,0.0317,0.0000,489,462
LJ001-0095,49.718,0.1818,0.0625,0.0000,359,361
LJ005-0037,67.167,0.0000,0.0000,0.0000,292,292
LJ031-0080,42.744,0.0833,0.0000,0.0833,796,746
LJ002-0132,62.357,0.0000,0.0000,0.0000,755,795
LJ042-0026,80.164,0.0000,0.0000,0.0000,794,845
LJ032-0209,35.535,0.0370,0.0075,0.0370,987,851
LJ028-0171,76.299,0.0000,0.0000,0.0000,480,523
LJ012-0077,63.883,0.1429,0.0492,0.0714,409,429
LJ041-0066,33.298,0.1818,0.1000,0.1818,416,354
LJ014-0322,67.323,0.2000,0.0580,0.0667,453,483
LJ015-0265,60.048,0.0000,0.0000,0.0000,112,137
LJ019-0286,66.959,0.0667,0.0286,0.0000,462,485
LJ029-0105,50.911,0.1304,0.0413,0.0435,781,762
LJ017-0100,51.458,0.0909,0.0227,0.0909,327,322
LJ040-0128,76.012,0.3846,0.0984,0.3077,443,493
LJ004-0164,40.102,0.0000,0.0000,0.0000,723,685
LJ034-0151,27.272,0.5714,0.0000,0.2857,220,203
LJ016-0002,41.938,0.0000,0.0000,0.0000,499,469
LJ003-0231,62.984,0.3571,0.1061,0.5000,481,497
LJ036-0092,67.040,0.2500,0.1087,0.4167,368,413
LJ031-0194,28.825,1.0000,0.0811,0.8333,302,259
LJ006-0040,71.125,0.0435,0.0180,0.0435,751,765
LJ042-0186,39.472,0.0000,0.0000,0.0714,497,491
LJ037-0242,45.641,0.0667,0.0333,0.2000,679,627
LJ005-0004,44.086,0.0714,0.0182,0.0000,367,342
LJ028-0376,80.111,0.0385,0.0357,0.0000,722,753
LJ033-0113,38.191,0.2727,0.0200,0.1818,326,320
LJ042-0057,71.545,0.0000,0.0000,0.0000,737,736
LJ004-0188,30.099,0.0000,0.0000,0.0833,429,349
LJ014-0333,39.044,0.0370,0.0157,0.0000,843,759
LJ029-0198,47.207,0.1667,0.0476,0.0556,694,652
LJ030-0253,44.107,0.0000,0.0000,0.0000,482,441
LJ002-0054,61.579,0.0000,0.0000,0.0000,667,664
LJ007-0149,31.537,0.0000,0.0000,0.0000,163,143
LJ045-0138,32.096,0.0000,0.0000,0.0000,651,570
LJ011-0092,45.829,0.0000,0.0000,0.0000,892,843
LJ006-0078,68.807,0.1538,0.0294,0.1538,486,512
LJ009-0147,49.386,0.0000,0.0000,0.0000,649,639
LJ028-0337,81.207,0.0667,0.0641,0.0667,541,592
LJ038-0210,72.275,0.0000,0.0000,0.0476,600,628
LJ029-0157,40.754,0.2917,0.0709,0.2917,848,793
LJ039-0026,37.930,0.1290,0.0159,0.0968,853,798
LJ040-0189,75.142,0.1250,0.0225,0.1875,659,693
LJ019-0136,37.715,0.0800,0.0229,0.0000,892,828
LJ002-0074,36.487,0.1600,0.0656,0.0400,863,840
LJ050-0102,71.516,0.6000,0.1333,0.4000,437,517
LJ002-0320,39.382,0.0000,0.0000,0.0000,580,562
LJ002-0100,42.740,0.0667,0.0312,0.0000,488,471
LJ014-0115,30.322,0.0000,0.0000,0.0000,247,219
LJ019-0276,41.343,0.0000,0.0000,0.0000,418,404
LJ048-0255,43.895,0.0435,0.0156,0.0435,849,816
LJ006-0195,36.107,0.0714,0.0000,0.0714,872,799
LJ005-0257,37.417,0.0000,0.0000,0.0000,585,543
LJ044-0042,67.232,0.1429,0.1111,0.0000,174,187
LJ042-0127,67.341,0.4167,0.0484,0.4167,482,495
LJ003-0050,64.876,0.5000,0.1429,0.0000,143,211
LJ036-0145,57.470,0.4286,0.1081,0.1429,271,297
LJ006-0068,70.561,0.0000,0.0000,0.0000,801,845
LJ001-0123,51.914,0.0769,0.0600,0.0769,322,317
LJ007-0189,32.975,0.0952,0.0102,0.0000,663,578
LJ027-0142,75.534,0.0000,0.0000,0.0000,719,755
LJ049-0158,45.344,0.2500,0.0083,0.2500,827,783
