utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.899,0.0000,0.0000,0.0000,561,651
LJ028-0353,48.986,0.1818,0.1111,0.0909,776,755
LJ049-0174,50.000,0.2222,0.0417,0.1667,697,672
LJ050-0184,39.317,0.0000,0.0000,0.0000,295,283
LJ017-0065,38.936,0.1250,0.0667,0.0625,493,475
LJ009-0246,63.477,0.0000,0.0000,0.0000,340,409
LJ016-0037,69.334,0.0000,0.0000,0.0000,647,670
LJ010-0315,48.126,0.0000,0.0000,0.0000,453,492
LJ003-0136,68.200,0.0000,0.0000,0.0000,702,801
LJ041-0179,42.991,0.0800,0.0431,0.0400,797,774
LJ016-0121,50.434,0.1200,0.0396,0.0800,711,703
LJ025-0082,57.043,0.1176,0.0500,0.0000,554,532
LJ003-0126,70.042,0.1429,0.0294,0.0000,468,498
LJ028-0183,61.472,0.0625,0.0154,0.0625,513,521
LJ017-0149,68.462,0.1579,0.0256,0.2105,589,595
LJ042-0110,68.974,0.3571,0.1719,0.2143,504,568
LJ009-0027,37.020,0.0000,0.0000,0.0000,137,130
LJ032-0201,62.493,0.0000,0.0000,0.0000,475,483
LJ007-0091,34.741,0.0556,0.0274,0.0556,524,482
LJ049-0039,41.146,0.0000,0.0000,0.0000,521,500
LJ019-0138,35.781,0.0000,0.0000,0.0000,772,703
LJ002-0260,63.500,0.0000,0.0000,0.0000,407,427
LJ009-0077,32.875,0.0833,0.0159,0.0000,483,432
LJ013-0028,69.107,0.0000,0.0000,0.0000,686,747
LJ034-0166,30.435,0.0000,0.0000,0.0000,623,557
LJ005-0116,48.347,0.2000,0.0426,0.0000,345,340
LJ010-0097,49.217,0.0000,0.0000,0.0000,755,735
LJ030-0146,45.169,0.2105,0.0213,0.2105,707,678
LJ037-0014,32.489,0.1538,0.0781,0.0769,452,423
LJ005-0131,41.780,0.0000,0.0000,0.0000,854,772
LJ004-0017,82.920,0.0714,0.0351,0.0714,431,442
LJ010-0147,77.215,0.2500,0.0745,0.2000,703,798
LJ021-0142,70.695,0.0000,0.0000,0.0000,329,390
LJ041-0097,97.116,0.3333,0.3125,0.1667,243,276
LJ028-0489,44.600,0.1071,0.0159,0.0357,830,825
LJ045-0082,36.008,0.0000,0.0000,0.0000,664,612
LJ009-0069,65.382,0.0000,0.0000,0.0000,524,535
LJ018-0328,40.159,0.0833,0.0159,0.0000,486,462
LJ001-0095,52.979,0.1818,0.0417,0.0000,358,361
LJ005-0037,58.298,0.2500,0.0698,0.0000,294,292
LJ031-0080,41.466,0.0833,0.0000,0.0833,814,746
LJ002-0132,66.960,0.0435,0.0270,0.0000,757,795
LJ042-0026,77.625,0.0385,0.0085,0.0000,810,845
LJ032-0209,34.069,0.0741,0.0149,0.0370,997,851
LJ028-0171,73.830,0.0000,0.0000,0.0000,480,523
LJ012-0077,66.271,0.0000,0.0000,0.0714,412,429
LJ041-0066,32.075,0.2727,0.1000,0.1818,420,354
LJ014-0322,68.113,0.1333,0.0435,0.0667,449,483
LJ015-0265,57.180,0.0000,0.0000,0.0000,113,137
LJ019-0286,69.643,0.0667,0.0143,0.0000,468,485
LJ029-0105,45.831,0.1304,0.0496,0.0435,789,762
LJ017-0100,49.133,0.0000,0.0000,0.0909,330,322
LJ040-0128,70.414,0.3846,0.0984,0.3077,447,493
LJ004-0164,47.676,0.0000,0.0000,0.0000,728,685
LJ034-0151,30.507,0.2857,0.0000,0.2857,222,203
LJ016-0002,37.134,0.0000,0.0000,0.0000,508,469
LJ003-0231,64.585,0.2143,0.0909,0.5000,479,497
LJ036-0092,68.853,0.2500,0.1957,0.4167,362,413
LJ031-0194,28.058,1.0000,0.0270,0.8333,295,259
LJ006-0040,71.785,0.0000,0.0000,0.0435,745,765
LJ042-0186,39.114,0.0000,0.0000,0.0714,498,491
LJ037-0242,41.277,0.1333,0.0444,0.2000,689,627
LJ005-0004,41.048,0.0000,0.0000,0.0000,364,342
LJ028-0376,77.766,0.0000,0.0000,0.0000,720,753
LJ033-0113,39.575,0.2727,0.0400,0.1818,327,320
LJ042-0057,63.061,0.0000,0.0000,0.0000,751,736
LJ004-0188,30.717,0.0000,0.0000,0.0833,423,349
LJ014-0333,36.795,0.0000,0.0000,0.0000,835,759
LJ029-0198,39.417,0.1111,0.0286,0.0556,699,652
LJ030-0253,43.866,0.0000,0.0000,0.0000,484,441
LJ002-0054,56.386,0.0000,0.0000,0.0000,672,664
LJ007-0149,33.594,0.0000,0.0000,0.0000,162,143
LJ045-0138,30.598,0.0000,0.0000,0.0000,659,570
LJ011-0092,43.686,0.0345,0.0079,0.0000,889,843
LJ006-0078,71.014,0.1538,0.0000,0.1538,496,512
LJ009-0147,46.659,0.0476,0.0106,0.0000,650,639
LJ028-0337,84.966,0.2667,0.1026,0.0667,546,592
LJ038-0210,66.686,0.0000,0.0000,0.0476,613,628
LJ029-0157,39.689,0.3333,0.0866,0.2917,844,793
LJ039-0026,37.216,0.0968,0.0397,0.0968,855,798
LJ040-0189,81.321,0.2500,0.0449,0.1875,650,693
LJ019-0136,35.907,0.0800,0.0305,0.0000,894,828
LJ002-0074,38.657,0.0400,0.0328,0.0400,858,840
LJ050-0102,67.981,0.5000,0.1000,0.4000,447,517
LJ002-0320,40.334,0.0000,0.0000,0.0000,588,562
LJ002-0100,46.590,0.1333,0.0625,0.0000,484,471
LJ014-0115,31.211,0.0000,0.0000,0.0000,243,219
LJ019-0276,35.844,0.0000,0.0000,0.0000,426,404
