utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,84.648,0.0952,0.0595,0.0000,562,651
LJ028-0353,41.888,0.1818,0.0909,0.0909,773,755
LJ049-0174,47.100,0.1667,0.0000,0.1667,697,672
LJ050-0184,38.677,0.0000,0.0000,0.0000,308,283
LJ017-0065,34.007,0.1250,0.1333,0.0625,506,475
LJ009-0246,67.854,0.0000,0.0000,0.0000,362,409
LJ016-0037,63.586,0.0000,0.0000,0.0000,652,670
LJ010-0315,57.105,0.0000,0.0000,0.0000,456,492
LJ003-0136,68.401,0.0000,0.0000,0.0000,715,801
LJ041-0179,44.302,0.0000,0.0000,0.0400,790,774
LJ016-0121,50.760,0.0400,0.0297,0.0800,718,703
LJ025-0082,55.795,0.1765,0.0875,0.0000,559,532
LJ003-0126,70.825,0.0000,0.0000,0.0000,466,498
LJ028-0183,65.115,0.0625,0.0308,0.0625,511,521
LJ017-0149,71.302,0.1053,0.0128,0.2105,590,595
LJ042-0110,67.826,0.2143,0.1250,0.2143,512,568
LJ009-0027,34.943,0.0000,0.0000,0.0000,141,130
LJ032-0201,57.702,0.0000,0.0000,0.0000,479,483
LJ007-0091,29.495,0.0556,0.0274,0.0556,528,482
LJ049-0039,36.508,0.0667,0.0132,0.0000,518,500
LJ019-0138,37.353,0.1304,0.0196,0.0000,776,703
LJ002-0260,63.576,0.0000,0.0000,0.0000,419,427
LJ009-0077,31.878,0.0000,0.0000,0.0000,491,432
LJ013-0028,65.445,0.0000,0.0000,0.0000,701,747
LJ034-0166,29.984,0.1579,0.0889,0.0000,611,557
LJ005-0116,48.931,0.1000,0.0213,0.0000,349,340
LJ010-0097,39.857,0.0000,0.0000,0.0000,771,735
LJ030-0146,45.666,0.2105,0.0213,0.2105,700,678
LJ037-0014,34.759,0.0769,0.0469,0.0769,437,423
LJ005-0131,41.318,0.0357,0.0078,0.0000,843,772
LJ004-0017,81.648,0.2143,0.0702,0.0714,436,442
LJ010-0147,78.107,0.1500,0.0106,0.2000,717,798
LJ021-0142,68.884,0.1111,0.0638,0.0000,327,390
LJ041-0097,86.468,0.3333,0.2188,0.1667,256,276
LJ028-0489,48.893,0.0357,0.0079,0.0357,825,825
LJ045-0082,34.365,0.0500,0.0104,0.0000,668,612
LJ009-0069,63.996,0.0625,0.0417,0.0000,529,535
LJ018-0328,42.510,0.1667,0.0476,0.0000,480,462
LJ001-0095,45.064,0.0909,0.0417,0.0000,368,361
LJ005-0037,62.308,0.2500,0.0698,0.0000,292,292
LJ031-0080,41.419,0.0833,0.0000,0.0833,816,746
LJ002-0132,66.892,0.0435,0.0090,0.0000,751,795
LJ042-0026,80.913,0.0000,0.0000,0.0000,797,845
